province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,1 PERSON,1,1344,1.13,1.82,26081,21.99,4.93,774
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,2 PERSONS,1,9794,8.26,1.97,26081,21.99,4.93,4333
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,3 PERSONS,1,10790,9.1,2.18,26081,21.99,4.93,3810
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,4 PERSONS,1,14162,11.94,2.34,26081,21.99,4.93,4202
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,5 PERSONS,1,14432,12.17,2.51,26081,21.99,4.93,3569
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,6 PERSONS,1,14148,11.93,2.67,26081,21.99,4.93,2982
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,7 PERSONS,1,13000,10.96,2.9,26081,21.99,4.93,2204
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,8 PERSONS,1,11271,9.5,3.1,26081,21.99,4.93,1575
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,9 PERSONS,1,9031,7.61,3.37,26081,21.99,4.93,1069
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,20626,17.39,4.06,26081,21.99,4.93,1563
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,1 PERSON,2,1344,1.13,1.82,35459,29.9,5.89,330
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,2 PERSONS,2,9794,8.26,1.97,35459,29.9,5.89,3289
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,3 PERSONS,2,10790,9.1,2.18,35459,29.9,5.89,3873
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,4 PERSONS,2,14162,11.94,2.34,35459,29.9,5.89,5073
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,5 PERSONS,2,14432,12.17,2.51,35459,29.9,5.89,5009
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,6 PERSONS,2,14148,11.93,2.67,35459,29.9,5.89,4656
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,7 PERSONS,2,13000,10.96,2.9,35459,29.9,5.89,3976
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,8 PERSONS,2,11271,9.5,3.1,35459,29.9,5.89,3121
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,9 PERSONS,2,9031,7.61,3.37,35459,29.9,5.89,2318
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,10 PERSONS AND ABOVE,2,20626,17.39,4.06,35459,29.9,5.89,3814
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,1 PERSON,3,1344,1.13,1.82,26368,22.23,6.88,123
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,2 PERSONS,3,9794,8.26,1.97,26368,22.23,6.88,1302
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,3 PERSONS,3,10790,9.1,2.18,26368,22.23,6.88,1852
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,4 PERSONS,3,14162,11.94,2.34,26368,22.23,6.88,2882
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,5 PERSONS,3,14432,12.17,2.51,26368,22.23,6.88,3299
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,6 PERSONS,3,14148,11.93,2.67,26368,22.23,6.88,3484
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,7 PERSONS,3,13000,10.96,2.9,26368,22.23,6.88,3399
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,8 PERSONS,3,11271,9.5,3.1,26368,22.23,6.88,3045
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,9 PERSONS,3,9031,7.61,3.37,26368,22.23,6.88,2219
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,10 PERSONS AND ABOVE,3,20626,17.39,4.06,26368,22.23,6.88,4763
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,1 PERSON,4,1344,1.13,1.82,15013,12.66,7.76,58
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,2 PERSONS,4,9794,8.26,1.97,15013,12.66,7.76,487
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,3 PERSONS,4,10790,9.1,2.18,15013,12.66,7.76,743
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,4 PERSONS,4,14162,11.94,2.34,15013,12.66,7.76,1196
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,5 PERSONS,4,14432,12.17,2.51,15013,12.66,7.76,1503
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,6 PERSONS,4,14148,11.93,2.67,15013,12.66,7.76,1726
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,7 PERSONS,4,13000,10.96,2.9,15013,12.66,7.76,1867
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,8 PERSONS,4,11271,9.5,3.1,15013,12.66,7.76,1853
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,9 PERSONS,4,9031,7.61,3.37,15013,12.66,7.76,1654
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,10 PERSONS AND ABOVE,4,20626,17.39,4.06,15013,12.66,7.76,3926
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,1 PERSON,5,1344,1.13,1.82,5300,4.47,8.74,17
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,2 PERSONS,5,9794,8.26,1.97,5300,4.47,8.74,132
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,3 PERSONS,5,10790,9.1,2.18,5300,4.47,8.74,159
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,4 PERSONS,5,14162,11.94,2.34,5300,4.47,8.74,286
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,5 PERSONS,5,14432,12.17,2.51,5300,4.47,8.74,413
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,6 PERSONS,5,14148,11.93,2.67,5300,4.47,8.74,556
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,7 PERSONS,5,13000,10.96,2.9,5300,4.47,8.74,625
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,8 PERSONS,5,11271,9.5,3.1,5300,4.47,8.74,637
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,9 PERSONS,5,9031,7.61,3.37,5300,4.47,8.74,606
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,10 PERSONS AND ABOVE,5,20626,17.39,4.06,5300,4.47,8.74,1869
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,1 PERSON,6,1344,1.13,1.82,3748,3.16,9.21,7
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,2 PERSONS,6,9794,8.26,1.97,3748,3.16,9.21,76
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,3 PERSONS,6,10790,9.1,2.18,3748,3.16,9.21,112
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,4 PERSONS,6,14162,11.94,2.34,3748,3.16,9.21,170
