province_name,district_code,district_name,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,7121,179751,94723,85009,19,111.43,25.24,35.98,6.41,136322,1.46
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,RURAL,NA,115077,61043,54029,5,112.98,NA,NA,6.04,87855,1.43
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,URBAN,NA,64674,33680,30980,14,108.72,NA,NA,7.19,48467,1.53
BALOCHISTAN,127,SIBI DISTRICT,KOT MANDAI SUB-TEHSIL,TOTAL,1977,7583,4032,3551,0,113.55,3.84,0,6.02,8057,-0.32
BALOCHISTAN,127,SIBI DISTRICT,KOT MANDAI SUB-TEHSIL,RURAL,NA,7583,4032,3551,NA,113.55,NA,NA,6.02,8057,-0.32
BALOCHISTAN,127,SIBI DISTRICT,KOT MANDAI SUB-TEHSIL,URBAN,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
BALOCHISTAN,127,SIBI DISTRICT,LEHRI TEHSIL,TOTAL,1817,44490,23211,21278,1,109.08,24.49,0,5.91,32576,1.65
BALOCHISTAN,127,SIBI DISTRICT,LEHRI TEHSIL,RURAL,NA,44490,23211,21278,1,109.08,NA,NA,5.91,32576,1.65
BALOCHISTAN,127,SIBI DISTRICT,LEHRI TEHSIL,URBAN,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
BALOCHISTAN,127,SIBI DISTRICT,SANGAN SUB-TEHSIL,TOTAL,1378,2665,1441,1223,1,117.83,1.93,0,8.2,3024,-0.66
BALOCHISTAN,127,SIBI DISTRICT,SANGAN SUB-TEHSIL,RURAL,NA,2665,1441,1223,1,117.83,NA,NA,8.2,3024,-0.66
BALOCHISTAN,127,SIBI DISTRICT,SANGAN SUB-TEHSIL,URBAN,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
BALOCHISTAN,127,SIBI DISTRICT,SIBI TEHSIL,TOTAL,1949,125013,66039,58957,17,112.01,64.14,51.73,6.6,92665,1.59
BALOCHISTAN,127,SIBI DISTRICT,SIBI TEHSIL,RURAL,NA,60339,32359,27977,3,115.66,NA,NA,6.06,44198,1.65
BALOCHISTAN,127,SIBI DISTRICT,SIBI TEHSIL,URBAN,NA,64674,33680,30980,14,108.72,NA,NA,7.19,48467,1.53
