province_name,district_code,district_name,area_name,area_type,construction_age,roof_material,total_by_roof_material,percent_by_roof_material,wall_material,total_by_wall_material,percent_by_wall_material,count
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,210,1.01,UNBAKED BRICKS/MUD,3788,18.19,35
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,210,1.01,WOOD/BAMBOO,600,2.88,0
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,210,1.01,OTHERS,443,2.13,0
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,210,1.01,BAKED BRICKS/BLOCKS/STONES,2275,10.93,43
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,210,1.01,UNBAKED BRICKS/MUD,6775,32.54,32
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,210,1.01,WOOD/BAMBOO,700,3.36,1
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,210,1.01,OTHERS,263,1.26,1
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,210,1.01,BAKED BRICKS/BLOCKS/STONES,359,1.72,10
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,210,1.01,UNBAKED BRICKS/MUD,2016,9.68,7
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,210,1.01,WOOD/BAMBOO,92,0.44,0
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,210,1.01,OTHERS,51,0.24,0
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,6870,32.99,BAKED BRICKS/BLOCKS/STONES,128,0.61,94
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,6870,32.99,UNBAKED BRICKS/MUD,116,0.56,34
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,6870,32.99,WOOD/BAMBOO,20,0.1,1
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,6870,32.99,OTHERS,10,0.05,1
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,6870,32.99,BAKED BRICKS/BLOCKS/STONES,460,2.21,280
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,6870,32.99,UNBAKED BRICKS/MUD,1215,5.83,268
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,6870,32.99,WOOD/BAMBOO,230,1.1,16
