province_name,district_code,district_name,area_name,locality_name,locality_bucket,pop_98,avg_annual_growth_98_17,avg_hh_size,gender,total_population
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,KHAIRPUR MC,"100,000 - 199,999",105637,2.93,5.74,ALL SEXES,183120
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,KHAIRPUR MC,"100,000 - 199,999",105637,2.93,5.74,MALE,94605
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,KHAIRPUR MC,"100,000 - 199,999",105637,2.93,5.74,FEMALE,88469
SINDH,081,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,KHAIRPUR MC,"100,000 - 199,999",105637,2.93,5.74,TRANSGENDER,46
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,GAMBAT MC,"50,000 - 99,999",28311,3.31,6.27,ALL SEXES,52617
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,GAMBAT MC,"50,000 - 99,999",28311,3.31,6.27,MALE,27181
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,GAMBAT MC,"50,000 - 99,999",28311,3.31,6.27,FEMALE,25434
SINDH,081,KHAIRPUR DISTRICT,GAMBAT TALUKA,GAMBAT MC,"50,000 - 99,999",28311,3.31,6.27,TRANSGENDER,2
SINDH,081,KHAIRPUR DISTRICT,KINGRI TALUKA,KINGRI (PIRJO GOTH) MC,"25,000 - 49,999",30285,2.39,5.88,ALL SEXES,47518
SINDH,081,KHAIRPUR DISTRICT,KINGRI TALUKA,KINGRI (PIRJO GOTH) MC,"25,000 - 49,999",30285,2.39,5.88,MALE,24405
SINDH,081,KHAIRPUR DISTRICT,KINGRI TALUKA,KINGRI (PIRJO GOTH) MC,"25,000 - 49,999",30285,2.39,5.88,FEMALE,23109
SINDH,081,KHAIRPUR DISTRICT,KINGRI TALUKA,KINGRI (PIRJO GOTH) MC,"25,000 - 49,999",30285,2.39,5.88,TRANSGENDER,4
SINDH,081,KHAIRPUR DISTRICT,NARA TALUKA,CHOWNDIKO TC,"25,000 - 49,999",NA,NA,5.45,ALL SEXES,38620
SINDH,081,KHAIRPUR DISTRICT,NARA TALUKA,CHOWNDIKO TC,"25,000 - 49,999",NA,NA,5.45,MALE,20214
SINDH,081,KHAIRPUR DISTRICT,NARA TALUKA,CHOWNDIKO TC,"25,000 - 49,999",NA,NA,5.45,FEMALE,18404
SINDH,081,KHAIRPUR DISTRICT,NARA TALUKA,CHOWNDIKO TC,"25,000 - 49,999",NA,NA,5.45,TRANSGENDER,2
