province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,5-10 YEARS,8,43174,24.19,4748,2.66,1045
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,11-50 YEARS,8,101195,56.69,4748,2.66,2757
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,OVER 50 YEARS,8,9871,5.53,4748,2.66,311
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,UNDER CONSTRUCTION,9 AND MORE,4722,2.65,8130,4.55,276
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,LESS THAN 5 YEARS,9 AND MORE,19534,10.94,8130,4.55,843
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,5-10 YEARS,9 AND MORE,43174,24.19,8130,4.55,1666
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,11-50 YEARS,9 AND MORE,101195,56.69,8130,4.55,4740
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,OVER 50 YEARS,9 AND MORE,9871,5.53,8130,4.55,605
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,UNDER CONSTRUCTION,1,2734,2.58,13356,12.58,328
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,LESS THAN 5 YEARS,1,13121,12.36,13356,12.58,1360
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,5-10 YEARS,1,29182,27.5,13356,12.58,2878
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,11-50 YEARS,1,55256,52.06,13356,12.58,8052
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,RURAL,OVER 50 YEARS,1,5841,5.5,13356,12.58,738
