province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,RENT FREE,6,40303,11.34,4272,1.2,107
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,OWNED,7,308158,86.68,2494,0.7,2285
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,RENTED,7,7045,1.98,2494,0.7,47
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,RENT FREE,7,40303,11.34,2494,0.7,162
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,OWNED,8,308158,86.68,1035,0.29,995
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,RENTED,8,7045,1.98,1035,0.29,9
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,RENT FREE,8,40303,11.34,1035,0.29,31
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,OWNED,9,308158,86.68,1202,0.34,1148
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,RENTED,9,7045,1.98,1202,0.34,12
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,RENT FREE,9,40303,11.34,1202,0.34,42
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,OWNED,1,104386,79.04,34514,26.13,25478
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENTED,1,21818,16.52,34514,26.13,6346
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENT FREE,1,5866,4.44,34514,26.13,2690
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,OWNED,2,104386,79.04,46820,35.45,35777
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENTED,2,21818,16.52,46820,35.45,9135
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENT FREE,2,5866,4.44,46820,35.45,1908
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,OWNED,3,104386,79.04,26912,20.38,21768
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENTED,3,21818,16.52,26912,20.38,4449
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENT FREE,3,5866,4.44,26912,20.38,695
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,OWNED,4,104386,79.04,12920,9.78,11445
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENTED,4,21818,16.52,12920,9.78,1176
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENT FREE,4,5866,4.44,12920,9.78,299
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,OWNED,5,104386,79.04,5213,3.95,4765
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENTED,5,21818,16.52,5213,3.95,378
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENT FREE,5,5866,4.44,5213,3.95,70
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,OWNED,6,104386,79.04,2830,2.14,2570
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENTED,6,21818,16.52,2830,2.14,156
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENT FREE,6,5866,4.44,2830,2.14,104
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,OWNED,7,104386,79.04,1365,1.03,1208
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENTED,7,21818,16.52,1365,1.03,102
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENT FREE,7,5866,4.44,1365,1.03,55
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,OWNED,8,104386,79.04,722,0.55,682
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENTED,8,21818,16.52,722,0.55,21
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENT FREE,8,5866,4.44,722,0.55,19
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,OWNED,9,104386,79.04,774,0.59,693
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENTED,9,21818,16.52,774,0.59,55
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RENT FREE,9,5866,4.44,774,0.59,26
