province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,UNDER CONSTRUCTION,1,8940,2.79,263407,82.13,6978
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,LESS THAN 5 YEARS,1,85895,26.78,263407,82.13,72811
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,5-10 YEARS,1,137748,42.95,263407,82.13,114909
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,11-50 YEARS,1,79438,24.77,263407,82.13,62155
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OVER 50 YEARS,1,8691,2.71,263407,82.13,6554
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,UNDER CONSTRUCTION,2,8940,2.79,40282,12.56,1233
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,LESS THAN 5 YEARS,2,85895,26.78,40282,12.56,9288
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,5-10 YEARS,2,137748,42.95,40282,12.56,16741
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,11-50 YEARS,2,79438,24.77,40282,12.56,11836
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OVER 50 YEARS,2,8691,2.71,40282,12.56,1184
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,UNDER CONSTRUCTION,3,8940,2.79,9662,3.01,334
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,LESS THAN 5 YEARS,3,85895,26.78,9662,3.01,2135
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,5-10 YEARS,3,137748,42.95,9662,3.01,3296
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,11-50 YEARS,3,79438,24.77,9662,3.01,3202
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OVER 50 YEARS,3,8691,2.71,9662,3.01,695
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,UNDER CONSTRUCTION,4,8940,2.79,2951,0.92,162
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,LESS THAN 5 YEARS,4,85895,26.78,2951,0.92,649
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,5-10 YEARS,4,137748,42.95,2951,0.92,1047
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,11-50 YEARS,4,79438,24.77,2951,0.92,988
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OVER 50 YEARS,4,8691,2.71,2951,0.92,105
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,UNDER CONSTRUCTION,5,8940,2.79,1395,0.43,87
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,LESS THAN 5 YEARS,5,85895,26.78,1395,0.43,303
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,5-10 YEARS,5,137748,42.95,1395,0.43,491
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,11-50 YEARS,5,79438,24.77,1395,0.43,461
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OVER 50 YEARS,5,8691,2.71,1395,0.43,53
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,UNDER CONSTRUCTION,6,8940,2.79,374,0.12,24
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,LESS THAN 5 YEARS,6,85895,26.78,374,0.12,83
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,5-10 YEARS,6,137748,42.95,374,0.12,127
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,11-50 YEARS,6,79438,24.77,374,0.12,120
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OVER 50 YEARS,6,8691,2.71,374,0.12,20
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,UNDER CONSTRUCTION,7,8940,2.79,1700,0.53,75
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,LESS THAN 5 YEARS,7,85895,26.78,1700,0.53,405
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,5-10 YEARS,7,137748,42.95,1700,0.53,755
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,11-50 YEARS,7,79438,24.77,1700,0.53,412
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OVER 50 YEARS,7,8691,2.71,1700,0.53,53
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,UNDER CONSTRUCTION,8,8940,2.79,234,0.07,14
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,LESS THAN 5 YEARS,8,85895,26.78,234,0.07,56
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,5-10 YEARS,8,137748,42.95,234,0.07,72
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,11-50 YEARS,8,79438,24.77,234,0.07,84
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OVER 50 YEARS,8,8691,2.71,234,0.07,8
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,UNDER CONSTRUCTION,9 AND MORE,8940,2.79,707,0.22,33
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,LESS THAN 5 YEARS,9 AND MORE,85895,26.78,707,0.22,165
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,5-10 YEARS,9 AND MORE,137748,42.95,707,0.22,310
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,11-50 YEARS,9 AND MORE,79438,24.77,707,0.22,180
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,TOTAL,OVER 50 YEARS,9 AND MORE,8691,2.71,707,0.22,19
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,UNDER CONSTRUCTION,1,6560,2.6,215000,85.2,5552
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,LESS THAN 5 YEARS,1,72260,28.64,215000,85.2,62584
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,5-10 YEARS,1,112466,44.57,215000,85.2,96106
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,11-50 YEARS,1,53753,21.3,215000,85.2,45064
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OVER 50 YEARS,1,7297,2.89,215000,85.2,5694
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,UNDER CONSTRUCTION,2,6560,2.6,27178,10.77,661
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,LESS THAN 5 YEARS,2,72260,28.64,27178,10.77,7037
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,5-10 YEARS,2,112466,44.57,27178,10.77,12362
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,11-50 YEARS,2,53753,21.3,27178,10.77,6288
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OVER 50 YEARS,2,7297,2.89,27178,10.77,830
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,UNDER CONSTRUCTION,3,6560,2.6,5703,2.26,129
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,LESS THAN 5 YEARS,3,72260,28.64,5703,2.26,1461
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,5-10 YEARS,3,112466,44.57,5703,2.26,2074
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,11-50 YEARS,3,53753,21.3,5703,2.26,1442
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OVER 50 YEARS,3,7297,2.89,5703,2.26,597
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,UNDER CONSTRUCTION,4,6560,2.6,1453,0.58,66
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,LESS THAN 5 YEARS,4,72260,28.64,1453,0.58,373
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,5-10 YEARS,4,112466,44.57,1453,0.58,607
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,11-50 YEARS,4,53753,21.3,1453,0.58,356
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OVER 50 YEARS,4,7297,2.89,1453,0.58,51
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,UNDER CONSTRUCTION,5,6560,2.6,856,0.34,60
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,LESS THAN 5 YEARS,5,72260,28.64,856,0.34,231
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,5-10 YEARS,5,112466,44.57,856,0.34,362
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,11-50 YEARS,5,53753,21.3,856,0.34,163
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OVER 50 YEARS,5,7297,2.89,856,0.34,40
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,UNDER CONSTRUCTION,6,6560,2.6,189,0.07,10
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,LESS THAN 5 YEARS,6,72260,28.64,189,0.07,46
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,5-10 YEARS,6,112466,44.57,189,0.07,77
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,11-50 YEARS,6,53753,21.3,189,0.07,41
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OVER 50 YEARS,6,7297,2.89,189,0.07,15
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,UNDER CONSTRUCTION,7,6560,2.6,1291,0.51,53
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,LESS THAN 5 YEARS,7,72260,28.64,1291,0.51,343
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,5-10 YEARS,7,112466,44.57,1291,0.51,596
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,11-50 YEARS,7,53753,21.3,1291,0.51,252
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,OVER 50 YEARS,7,7297,2.89,1291,0.51,47
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,UNDER CONSTRUCTION,8,6560,2.6,145,0.06,7
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,LESS THAN 5 YEARS,8,72260,28.64,145,0.06,48
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,5-10 YEARS,8,112466,44.57,145,0.06,50
SINDH,083,BADIN DISTRICT,BADIN DISTRICT,RURAL,11-50 YEARS,8,53753,21.3,145,0.06,33
