province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,utility,source,total_by_source,percent_by_source,count
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,OUTSIDE WATER,TAP,5349,2.74,851
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,OUTSIDE WATER,ELECTRIC/HAND PUMP,9315,4.77,1413
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,OUTSIDE WATER,PROTECTED WELL,2011,1.03,147
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,OUTSIDE WATER,UN-PROTECTED WELL,1605,0.82,50
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,OUTSIDE WATER,SPRING,2324,1.19,37
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,OUTSIDE WATER,CANAL/RIVER/POND,286,0.15,11
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,OUTSIDE WATER,OTHERS,2431,1.24,324
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,COOKING FUEL,WOOD,92059,47.12,851
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,COOKING FUEL,GAS,96294,49.28,1413
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,COOKING FUEL,KEROSENE OIL,228,0.12,147
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,COOKING FUEL,OTHERS,6806,3.48,50
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,LIGHTING SOURCE,ELECTRICITY,92059,47.12,8835
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,LIGHTING SOURCE,KEROSENE OIL,96294,49.28,16378
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,LIGHTING SOURCE,GAS LAMP,228,0.12,115
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENTED,26831,13.73,LIGHTING SOURCE,OTHERS,6806,3.48,1503
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENT FREE,9075,4.64,INSIDE WATER,TOTAL INSIDE,172066,88.06,6996
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENT FREE,9075,4.64,INSIDE WATER,TAP,42649,21.83,3085
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENT FREE,9075,4.64,INSIDE WATER,ELECTRIC/HAND PUMP,107690,55.12,2594
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENT FREE,9075,4.64,INSIDE WATER,PROTECTED WELL,12148,6.22,442
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENT FREE,9075,4.64,INSIDE WATER,UN-PROTECTED WELL,1958,1,125
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENT FREE,9075,4.64,INSIDE WATER,OTHERS,7621,3.9,750
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENT FREE,9075,4.64,OUTSIDE WATER,TOTAL OUTSIDE,23321,11.94,2079
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENT FREE,9075,4.64,OUTSIDE WATER,TAP,5349,2.74,305
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENT FREE,9075,4.64,OUTSIDE WATER,ELECTRIC/HAND PUMP,9315,4.77,1034
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENT FREE,9075,4.64,OUTSIDE WATER,PROTECTED WELL,2011,1.03,161
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENT FREE,9075,4.64,OUTSIDE WATER,UN-PROTECTED WELL,1605,0.82,128
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,RENT FREE,9075,4.64,OUTSIDE WATER,SPRING,2324,1.19,141
