province_name,district_code,district_name,area_name,area_type,gender,work_activity,age_group,count
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,STUDENT,25 - 29,4294
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,STUDENT,30 - 34,989
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,STUDENT,35 - 39,467
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,STUDENT,40 - 44,276
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,STUDENT,45 - 49,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,STUDENT,50 - 54,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,STUDENT,55 - 59,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,STUDENT,60 - 64,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,STUDENT,65 - 69,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,STUDENT,70 - 74,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,STUDENT,75 AND ABOVE,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,10 AND ABOVE,385839
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,10 - 14,6928
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,15 - 19,24755
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,20 - 24,47203
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,25 - 29,51486
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,HOUSEKEEPING,30 - 34,48018
