province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,11-50 YEARS,114442,65.96,ROOF,CEMENT/IRON SHEETS,10056,5.8,5732
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,11-50 YEARS,114442,65.96,ROOF,GARDER/T.IRON,69433,40.02,48712
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,11-50 YEARS,114442,65.96,ROOF,WOOD/BAMBOO,29948,17.26,21966
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,11-50 YEARS,114442,65.96,ROOF,OTHERS,1593,0.92,952
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,WALL,BAKED BRICKS/BLOCKS/STONES,164854,95.02,5256
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,WALL,UNBAKED BRICKS/MUD,6171,3.56,650
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,WALL,WOOD/BAMBOO,1082,0.62,57
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,WALL,OTHERS,1394,0.8,58
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,ROOF,RCC/RBC,62471,36.01,1153
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,ROOF,CEMENT/IRON SHEETS,10056,5.8,338
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,ROOF,GARDER/T.IRON,69433,40.02,2245
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,ROOF,WOOD/BAMBOO,29948,17.26,2213
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,ROOF,OTHERS,1593,0.92,72
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,UNDER CONSTRUCTION,1821,1.36,WALL,BAKED BRICKS/BLOCKS/STONES,126617,94.87,1672
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,UNDER CONSTRUCTION,1821,1.36,WALL,UNBAKED BRICKS/MUD,4915,3.68,73
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,UNDER CONSTRUCTION,1821,1.36,WALL,WOOD/BAMBOO,855,0.64,39
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,UNDER CONSTRUCTION,1821,1.36,WALL,OTHERS,1070,0.8,37
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,UNDER CONSTRUCTION,1821,1.36,ROOF,RCC/RBC,35628,26.7,563
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,UNDER CONSTRUCTION,1821,1.36,ROOF,CEMENT/IRON SHEETS,7208,5.4,150
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,UNDER CONSTRUCTION,1821,1.36,ROOF,GARDER/T.IRON,64020,47.97,757
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,UNDER CONSTRUCTION,1821,1.36,ROOF,WOOD/BAMBOO,25386,19.02,326
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,UNDER CONSTRUCTION,1821,1.36,ROOF,OTHERS,1215,0.91,25
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,LESS THAN 5 YEARS,10659,7.99,WALL,BAKED BRICKS/BLOCKS/STONES,126617,94.87,10039
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,LESS THAN 5 YEARS,10659,7.99,WALL,UNBAKED BRICKS/MUD,4915,3.68,387
