province_name,district_code,district_name,area_name,area_type,marital_status,household_head_relationship,gender,count
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,HEAD,ALL SEXES,203671
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,HEAD,MALE,157943
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,HEAD,FEMALE,45710
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,HEAD,TRANSGENDER,18
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,SPOUSE,ALL SEXES,148807
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,SPOUSE,MALE,11577
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,SPOUSE,FEMALE,137230
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,SPOUSE,TRANSGENDER,NA
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,ALL SEXES,250776
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,MALE,151291
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,FEMALE,99470
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,TRANSGENDER,15
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,ALL SEXES,61426
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,MALE,1401
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,FEMALE,60025
