province_name,district_code,district_name,area_name,area_type,gender,nationality_status,age_group,count
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,20 - 24,78692
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,20 - 24,81
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,20 - 24,63551
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,20 - 24,63522
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,20 - 24,29
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,20 - 24,15222
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,20 - 24,15170
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,20 - 24,52
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,25 - 29,76438
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,25 - 29,76366
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,25 - 29,72
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,25 - 29,61987
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,25 - 29,61969
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,25 - 29,18
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,25 - 29,14451
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,25 - 29,14397
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,25 - 29,54
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,30 - 34,67487
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,30 - 34,67427
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,30 - 34,60
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,30 - 34,54471
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,30 - 34,54455
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,30 - 34,16
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,30 - 34,13016
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,30 - 34,12972
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,30 - 34,44
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,35 - 39,60968
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,35 - 39,60913
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,35 - 39,55
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,35 - 39,49992
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,35 - 39,49978
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,35 - 39,14
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,35 - 39,10976
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,35 - 39,10935
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,35 - 39,41
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,40 - 44,46493
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,40 - 44,46443
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,40 - 44,50
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,40 - 44,37841
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,40 - 44,37830
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,40 - 44,11
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,40 - 44,8652
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,40 - 44,8613
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,40 - 44,39
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,TOTAL,45 - 49,36051
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,PAKISTANI,45 - 49,36023
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,45 - 49,28
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,45 - 49,29330
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,45 - 49,29322
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,45 - 49,8
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,45 - 49,6721
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,45 - 49,6701
