province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,5-10 YEARS,9 AND MORE,62106,37.26,379,0.23,129
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,11-50 YEARS,9 AND MORE,53079,31.85,379,0.23,116
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,OVER 50 YEARS,9 AND MORE,5834,3.5,379,0.23,15
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,UNDER CONSTRUCTION,1,4256,3.01,122966,87.05,3607
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,LESS THAN 5 YEARS,1,35551,25.17,122966,87.05,31059
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,5-10 YEARS,1,53767,38.06,122966,87.05,47328
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,11-50 YEARS,1,43105,30.52,122966,87.05,37063
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,OVER 50 YEARS,1,4578,3.24,122966,87.05,3909
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,UNDER CONSTRUCTION,2,4256,3.01,11910,8.43,402
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,LESS THAN 5 YEARS,2,35551,25.17,11910,8.43,2878
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,5-10 YEARS,2,53767,38.06,11910,8.43,4263
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,11-50 YEARS,2,43105,30.52,11910,8.43,3958
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,OVER 50 YEARS,2,4578,3.24,11910,8.43,409
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,UNDER CONSTRUCTION,3,4256,3.01,3093,2.19,105
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,LESS THAN 5 YEARS,3,35551,25.17,3093,2.19,820
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,5-10 YEARS,3,53767,38.06,3093,2.19,1022
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,11-50 YEARS,3,43105,30.52,3093,2.19,1017
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,OVER 50 YEARS,3,4578,3.24,3093,2.19,129
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,UNDER CONSTRUCTION,4,4256,3.01,1294,0.92,63
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,LESS THAN 5 YEARS,4,35551,25.17,1294,0.92,268
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,5-10 YEARS,4,53767,38.06,1294,0.92,446
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,11-50 YEARS,4,43105,30.52,1294,0.92,460
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,OVER 50 YEARS,4,4578,3.24,1294,0.92,57
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,UNDER CONSTRUCTION,5,4256,3.01,592,0.42,16
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,LESS THAN 5 YEARS,5,35551,25.17,592,0.42,138
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,5-10 YEARS,5,53767,38.06,592,0.42,215
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,11-50 YEARS,5,43105,30.52,592,0.42,202
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,OVER 50 YEARS,5,4578,3.24,592,0.42,21
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,UNDER CONSTRUCTION,6,4256,3.01,177,0.13,8
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,LESS THAN 5 YEARS,6,35551,25.17,177,0.13,47
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,5-10 YEARS,6,53767,38.06,177,0.13,50
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,11-50 YEARS,6,43105,30.52,177,0.13,59
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,OVER 50 YEARS,6,4578,3.24,177,0.13,13
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,UNDER CONSTRUCTION,7,4256,3.01,783,0.55,37
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,LESS THAN 5 YEARS,7,35551,25.17,783,0.55,225
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,5-10 YEARS,7,53767,38.06,783,0.55,281
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,11-50 YEARS,7,43105,30.52,783,0.55,217
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,OVER 50 YEARS,7,4578,3.24,783,0.55,23
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,UNDER CONSTRUCTION,8,4256,3.01,128,0.09,8
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,LESS THAN 5 YEARS,8,35551,25.17,128,0.09,29
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,5-10 YEARS,8,53767,38.06,128,0.09,52
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,11-50 YEARS,8,43105,30.52,128,0.09,34
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,OVER 50 YEARS,8,4578,3.24,128,0.09,5
