province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,1 PERSON,1,294,1.32,2.02,3045,13.63,5.2,146
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,2 PERSONS,1,1356,6.07,2.04,3045,13.63,5.2,478
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,3 PERSONS,1,1606,7.19,2.26,3045,13.63,5.2,461
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,4 PERSONS,1,1910,8.55,2.43,3045,13.63,5.2,377
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,5 PERSONS,1,2092,9.37,2.57,3045,13.63,5.2,383
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,6 PERSONS,1,2272,10.17,2.78,3045,13.63,5.2,321
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,7 PERSONS,1,2335,10.46,2.9,3045,13.63,5.2,275
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,8 PERSONS,1,2156,9.65,3.13,3045,13.63,5.2,209
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,9 PERSONS,1,1943,8.7,3.34,3045,13.63,5.2,123
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,6369,28.52,4.15,3045,13.63,5.2,272
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,1 PERSON,2,294,1.32,2.02,6590,29.51,6.46,81
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,2 PERSONS,2,1356,6.07,2.04,6590,29.51,6.46,548
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,3 PERSONS,2,1606,7.19,2.26,6590,29.51,6.46,608
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,4 PERSONS,2,1910,8.55,2.43,6590,29.51,6.46,789
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,5 PERSONS,2,2092,9.37,2.57,6590,29.51,6.46,789
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,6 PERSONS,2,2272,10.17,2.78,6590,29.51,6.46,810
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,7 PERSONS,2,2335,10.46,2.9,6590,29.51,6.46,760
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,8 PERSONS,2,2156,9.65,3.13,6590,29.51,6.46,626
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,9 PERSONS,2,1943,8.7,3.34,6590,29.51,6.46,524
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,10 PERSONS AND ABOVE,2,6369,28.52,4.15,6590,29.51,6.46,1055
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,1 PERSON,3,294,1.32,2.02,5042,22.58,7.74,33
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,2 PERSONS,3,1356,6.07,2.04,5042,22.58,7.74,190
