province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENTED,4140,6.56,ROOF,WOOD/BAMBOO,40897,64.84,1837
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENTED,4140,6.56,ROOF,OTHERS,3498,5.55,253
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENT FREE,4208,6.67,WALL,BAKED BRICKS/BLOCKS/STONES,28827,45.71,1150
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENT FREE,4208,6.67,WALL,UNBAKED BRICKS/MUD,26615,42.2,2398
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENT FREE,4208,6.67,WALL,WOOD/BAMBOO,4187,6.64,417
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENT FREE,4208,6.67,WALL,OTHERS,3441,5.46,243
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENT FREE,4208,6.67,ROOF,RCC/RBC,7156,11.35,228
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENT FREE,4208,6.67,ROOF,CEMENT/IRON SHEETS,2458,3.9,125
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENT FREE,4208,6.67,ROOF,GARDER/T.IRON,9061,14.37,803
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENT FREE,4208,6.67,ROOF,WOOD/BAMBOO,40897,64.84,2845
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENT FREE,4208,6.67,ROOF,OTHERS,3498,5.55,207
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,OWNED,1916,47.77,WALL,BAKED BRICKS/BLOCKS/STONES,1409,35.13,729
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,OWNED,1916,47.77,WALL,UNBAKED BRICKS/MUD,1992,49.66,886
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,OWNED,1916,47.77,WALL,WOOD/BAMBOO,243,6.06,97
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,OWNED,1916,47.77,WALL,OTHERS,367,9.15,204
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,OWNED,1916,47.77,ROOF,RCC/RBC,711,17.73,317
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,OWNED,1916,47.77,ROOF,CEMENT/IRON SHEETS,362,9.03,199
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,OWNED,1916,47.77,ROOF,GARDER/T.IRON,1329,33.13,819
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,OWNED,1916,47.77,ROOF,WOOD/BAMBOO,1082,26.98,316
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,OWNED,1916,47.77,ROOF,OTHERS,527,13.14,265
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENTED,1700,42.38,WALL,BAKED BRICKS/BLOCKS/STONES,1409,35.13,646
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENTED,1700,42.38,WALL,UNBAKED BRICKS/MUD,1992,49.66,847
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENTED,1700,42.38,WALL,WOOD/BAMBOO,243,6.06,66
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENTED,1700,42.38,WALL,OTHERS,367,9.15,141
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENTED,1700,42.38,ROOF,RCC/RBC,711,17.73,373
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENTED,1700,42.38,ROOF,CEMENT/IRON SHEETS,362,9.03,155
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENTED,1700,42.38,ROOF,GARDER/T.IRON,1329,33.13,378
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENTED,1700,42.38,ROOF,WOOD/BAMBOO,1082,26.98,551
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENTED,1700,42.38,ROOF,OTHERS,527,13.14,243
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENT FREE,395,9.85,WALL,BAKED BRICKS/BLOCKS/STONES,1409,35.13,34
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENT FREE,395,9.85,WALL,UNBAKED BRICKS/MUD,1992,49.66,259
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENT FREE,395,9.85,WALL,WOOD/BAMBOO,243,6.06,80
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENT FREE,395,9.85,WALL,OTHERS,367,9.15,22
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENT FREE,395,9.85,ROOF,RCC/RBC,711,17.73,21
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENT FREE,395,9.85,ROOF,CEMENT/IRON SHEETS,362,9.03,8
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENT FREE,395,9.85,ROOF,GARDER/T.IRON,1329,33.13,132
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENT FREE,395,9.85,ROOF,WOOD/BAMBOO,1082,26.98,215
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,RENT FREE,395,9.85,ROOF,OTHERS,527,13.14,19
