province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
FATA,035,FR KOHAT,FR KOHAT,TOTAL,5-10 YEARS,2085,15.63,ROOF,WOOD/BAMBOO,1989,14.91,165
FATA,035,FR KOHAT,FR KOHAT,TOTAL,5-10 YEARS,2085,15.63,ROOF,OTHERS,346,2.59,31
FATA,035,FR KOHAT,FR KOHAT,TOTAL,11-50 YEARS,9290,69.62,WALL,BAKED BRICKS/BLOCKS/STONES,10076,75.51,6862
FATA,035,FR KOHAT,FR KOHAT,TOTAL,11-50 YEARS,9290,69.62,WALL,UNBAKED BRICKS/MUD,2500,18.74,1811
FATA,035,FR KOHAT,FR KOHAT,TOTAL,11-50 YEARS,9290,69.62,WALL,WOOD/BAMBOO,130,0.97,89
FATA,035,FR KOHAT,FR KOHAT,TOTAL,11-50 YEARS,9290,69.62,WALL,OTHERS,638,4.78,528
FATA,035,FR KOHAT,FR KOHAT,TOTAL,11-50 YEARS,9290,69.62,ROOF,RCC/RBC,3775,28.29,2451
FATA,035,FR KOHAT,FR KOHAT,TOTAL,11-50 YEARS,9290,69.62,ROOF,CEMENT/IRON SHEETS,675,5.06,365
FATA,035,FR KOHAT,FR KOHAT,TOTAL,11-50 YEARS,9290,69.62,ROOF,GARDER/T.IRON,6559,49.15,4730
FATA,035,FR KOHAT,FR KOHAT,TOTAL,11-50 YEARS,9290,69.62,ROOF,WOOD/BAMBOO,1989,14.91,1483
FATA,035,FR KOHAT,FR KOHAT,TOTAL,11-50 YEARS,9290,69.62,ROOF,OTHERS,346,2.59,261
FATA,035,FR KOHAT,FR KOHAT,TOTAL,OVER 50 YEARS,733,5.49,WALL,BAKED BRICKS/BLOCKS/STONES,10076,75.51,444
FATA,035,FR KOHAT,FR KOHAT,TOTAL,OVER 50 YEARS,733,5.49,WALL,UNBAKED BRICKS/MUD,2500,18.74,253
FATA,035,FR KOHAT,FR KOHAT,TOTAL,OVER 50 YEARS,733,5.49,WALL,WOOD/BAMBOO,130,0.97,16
FATA,035,FR KOHAT,FR KOHAT,TOTAL,OVER 50 YEARS,733,5.49,WALL,OTHERS,638,4.78,20
FATA,035,FR KOHAT,FR KOHAT,TOTAL,OVER 50 YEARS,733,5.49,ROOF,RCC/RBC,3775,28.29,69
FATA,035,FR KOHAT,FR KOHAT,TOTAL,OVER 50 YEARS,733,5.49,ROOF,CEMENT/IRON SHEETS,675,5.06,29
FATA,035,FR KOHAT,FR KOHAT,TOTAL,OVER 50 YEARS,733,5.49,ROOF,GARDER/T.IRON,6559,49.15,349
FATA,035,FR KOHAT,FR KOHAT,TOTAL,OVER 50 YEARS,733,5.49,ROOF,WOOD/BAMBOO,1989,14.91,270
FATA,035,FR KOHAT,FR KOHAT,TOTAL,OVER 50 YEARS,733,5.49,ROOF,OTHERS,346,2.59,16
FATA,035,FR KOHAT,FR KOHAT,RURAL,UNDER CONSTRUCTION,441,3.3,WALL,BAKED BRICKS/BLOCKS/STONES,10076,75.51,383
FATA,035,FR KOHAT,FR KOHAT,RURAL,UNDER CONSTRUCTION,441,3.3,WALL,UNBAKED BRICKS/MUD,2500,18.74,33
FATA,035,FR KOHAT,FR KOHAT,RURAL,UNDER CONSTRUCTION,441,3.3,WALL,WOOD/BAMBOO,130,0.97,1
FATA,035,FR KOHAT,FR KOHAT,RURAL,UNDER CONSTRUCTION,441,3.3,WALL,OTHERS,638,4.78,24
FATA,035,FR KOHAT,FR KOHAT,RURAL,UNDER CONSTRUCTION,441,3.3,ROOF,RCC/RBC,3775,28.29,191
FATA,035,FR KOHAT,FR KOHAT,RURAL,UNDER CONSTRUCTION,441,3.3,ROOF,CEMENT/IRON SHEETS,675,5.06,25
FATA,035,FR KOHAT,FR KOHAT,RURAL,UNDER CONSTRUCTION,441,3.3,ROOF,GARDER/T.IRON,6559,49.15,166
FATA,035,FR KOHAT,FR KOHAT,RURAL,UNDER CONSTRUCTION,441,3.3,ROOF,WOOD/BAMBOO,1989,14.91,42
FATA,035,FR KOHAT,FR KOHAT,RURAL,UNDER CONSTRUCTION,441,3.3,ROOF,OTHERS,346,2.59,17
