province_name,district_code,district_name,area_name,locality_size,locality_count,gender,total_population
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,500 - 999,1,MALE,293
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,500 - 999,1,FEMALE,229
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,500 - 999,1,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,200 - 499,1,ALL SEXES,441
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,200 - 499,1,MALE,272
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,200 - 499,1,FEMALE,169
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,200 - 499,1,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,LESS THAN 200,49,ALL SEXES,3056
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,LESS THAN 200,49,MALE,1663
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,LESS THAN 200,49,FEMALE,1393
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,LESS THAN 200,49,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,UN-INHABITED,6,ALL SEXES,0
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,UN-INHABITED,6,MALE,0
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,UN-INHABITED,6,FEMALE,0
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,UN-INHABITED,6,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,TOTAL,65,ALL SEXES,10708
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,TOTAL,65,MALE,5625
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,TOTAL,65,FEMALE,5083
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,TOTAL,65,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,"5,000 AND ABOVE",0,ALL SEXES,0
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,"5,000 AND ABOVE",0,MALE,0
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,"5,000 AND ABOVE",0,FEMALE,0
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,"5,000 AND ABOVE",0,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,"2,000 - 4,999",1,ALL SEXES,3072
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,"2,000 - 4,999",1,MALE,1593
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,"2,000 - 4,999",1,FEMALE,1479
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,"2,000 - 4,999",1,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,"1,000 - 1,999",1,ALL SEXES,1035
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,"1,000 - 1,999",1,MALE,551
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,"1,000 - 1,999",1,FEMALE,484
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,"1,000 - 1,999",1,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,500 - 999,3,ALL SEXES,2079
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,500 - 999,3,MALE,1120
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,500 - 999,3,FEMALE,959
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,500 - 999,3,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,200 - 499,5,ALL SEXES,1447
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,200 - 499,5,MALE,769
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,200 - 499,5,FEMALE,678
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,200 - 499,5,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,LESS THAN 200,49,ALL SEXES,3075
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,LESS THAN 200,49,MALE,1592
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,LESS THAN 200,49,FEMALE,1483
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,LESS THAN 200,49,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,UN-INHABITED,6,ALL SEXES,0
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,UN-INHABITED,6,MALE,0
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,UN-INHABITED,6,FEMALE,0
BALOCHISTAN,105,KALAT DISTRICT,JOHAN SUB-TEHSIL,UN-INHABITED,6,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,TOTAL,242,ALL SEXES,92298
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,TOTAL,242,MALE,47816
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,TOTAL,242,FEMALE,44482
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,TOTAL,242,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,"5,000 AND ABOVE",1,ALL SEXES,6944
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,"5,000 AND ABOVE",1,MALE,3727
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,"5,000 AND ABOVE",1,FEMALE,3217
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,"5,000 AND ABOVE",1,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,"2,000 - 4,999",4,ALL SEXES,9146
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,"2,000 - 4,999",4,MALE,4664
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,"2,000 - 4,999",4,FEMALE,4482
