province_name,district_code,district_name,area_name,locality_name,locality_bucket,pop_98,avg_annual_growth_98_17,avg_hh_size,gender,total_population
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,KALAT MC,"25,000 - 49,999",22646,2.58,6.4,ALL SEXES,36796
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,KALAT MC,"25,000 - 49,999",22646,2.58,6.4,MALE,18649
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,KALAT MC,"25,000 - 49,999",22646,2.58,6.4,FEMALE,18147
BALOCHISTAN,105,KALAT DISTRICT,KALAT TEHSIL,KALAT MC,"25,000 - 49,999",22646,2.58,6.4,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,SURAB MC,"25,000 - 49,999",11148,6.29,8.53,ALL SEXES,35597
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,SURAB MC,"25,000 - 49,999",11148,6.29,8.53,MALE,17635
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,SURAB MC,"25,000 - 49,999",11148,6.29,8.53,FEMALE,17962
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,SURAB MC,"25,000 - 49,999",11148,6.29,8.53,TRANSGENDER,0
