province_name,district_code,district_name,area_name,area_type,marital_status,household_head_relationship,gender,count
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,HEAD,FEMALE,126
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,HEAD,TRANSGENDER,3
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,SPOUSE,ALL SEXES,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,SPOUSE,MALE,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,SPOUSE,FEMALE,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,SPOUSE,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,SON/DAUGHTER,ALL SEXES,71332
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,SON/DAUGHTER,MALE,42694
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,SON/DAUGHTER,FEMALE,28637
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,SON/DAUGHTER,TRANSGENDER,1
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,DAUGHTER/SON IN LAW,ALL SEXES,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,DAUGHTER/SON IN LAW,MALE,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,DAUGHTER/SON IN LAW,FEMALE,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,DAUGHTER/SON IN LAW,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,GRAND SON/GRAND DAUGHTER,ALL SEXES,1776
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,GRAND SON/GRAND DAUGHTER,MALE,1013
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,GRAND SON/GRAND DAUGHTER,FEMALE,763
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,GRAND SON/GRAND DAUGHTER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,FATHER/MOTHER,ALL SEXES,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,FATHER/MOTHER,MALE,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,FATHER/MOTHER,FEMALE,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,FATHER/MOTHER,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,BROTHER/SISTER,ALL SEXES,11969
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,BROTHER/SISTER,MALE,7569
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,BROTHER/SISTER,FEMALE,4398
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,BROTHER/SISTER,TRANSGENDER,2
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,OTHER RELATIVE,ALL SEXES,5928
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,OTHER RELATIVE,MALE,3928
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,OTHER RELATIVE,FEMALE,1996
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,OTHER RELATIVE,TRANSGENDER,4
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,NON-RELATIVE,ALL SEXES,3291
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,NON-RELATIVE,MALE,2810
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,NON-RELATIVE,FEMALE,480
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,NEVER MARRIED,NON-RELATIVE,TRANSGENDER,1
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,HEAD,ALL SEXES,81761
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,HEAD,MALE,79227
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,HEAD,FEMALE,2534
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,HEAD,TRANSGENDER,NA
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,SPOUSE,ALL SEXES,82468
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,SPOUSE,MALE,1536
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MARRIED,SPOUSE,FEMALE,80932
