adm_lvl_1,adm_lvl_2,adm_lvl_3,adm_lvl_4,prelim_total,final_total,difference
BALOCHISTAN,NA,AWARAN DISTRICT,AWARAN TEHSIL,30325,30345,20
BALOCHISTAN,NA,AWARAN DISTRICT,GISHKORE SUB-TEHSIL,18522,18390,-132
BALOCHISTAN,NA,AWARAN DISTRICT,JHAL JAO SUB-TEHSIL,40033,40010,-23
BALOCHISTAN,NA,AWARAN DISTRICT,MASHKAI TEHSIL,33131,33076,-55
BALOCHISTAN,NA,BARKHAN DISTRICT,BARKHAN TEHSIL,171556,171025,-531
BALOCHISTAN,NA,CHAGAI DISTRICT,CHAGAI SUB-TEHSIL,58383,58256,-127
BALOCHISTAN,NA,CHAGAI DISTRICT,DALBANDIN TEHSIL,126822,127468,646
BALOCHISTAN,NA,CHAGAI DISTRICT,NOKUNDI SUB-TEHSIL,22293,22283,-10
BALOCHISTAN,NA,CHAGAI DISTRICT,TAFTAN SUB-TEHSIL,18510,18510,0
BALOCHISTAN,NA,DERA BUGTI DISTRICT,BAIKER SUB-TEHSIL,19535,19497,-38
BALOCHISTAN,NA,DERA BUGTI DISTRICT,DERA BUGTI TEHSIL,48492,48415,-77
BALOCHISTAN,NA,DERA BUGTI DISTRICT,LOTI TEHSIL,17967,18058,91
BALOCHISTAN,NA,DERA BUGTI DISTRICT,MALAM SUB-TEHSIL,27398,27265,-133
BALOCHISTAN,NA,DERA BUGTI DISTRICT,PHELAWAGH TEHSIL,28180,28054,-126
BALOCHISTAN,NA,DERA BUGTI DISTRICT,PIR KOH SUB-TEHSIL,40783,40629,-154
BALOCHISTAN,NA,DERA BUGTI DISTRICT,SANGSILLAH SUB-TEHSIL,10265,10217,-48
BALOCHISTAN,NA,DERA BUGTI DISTRICT,SUI TEHSIL,119983,120975,992
BALOCHISTAN,NA,GWADAR DISTRICT,GWADAR TEHSIL,138438,137695,-743
BALOCHISTAN,NA,GWADAR DISTRICT,JIWANI TEHSIL,26991,26691,-300
BALOCHISTAN,NA,GWADAR DISTRICT,ORMARA TEHSIL,25727,25634,-93
BALOCHISTAN,NA,GWADAR DISTRICT,PASNI TEHSIL,61396,61347,-49
BALOCHISTAN,NA,GWADAR DISTRICT,SUNTSER SUB-TEHSIL,10962,10886,-76
BALOCHISTAN,NA,HARNAI DISTRICT,HARNAI TEHSIL,75329,64056,-11273
BALOCHISTAN,NA,HARNAI DISTRICT,KHOAST SUB-TEHSIL,12234,12279,45
BALOCHISTAN,NA,HARNAI DISTRICT,SHAHRIG TEHSIL,9454,20717,11263
BALOCHISTAN,NA,JAFFARABAD DISTRICT,GANDHAKA TEHSIL,74976,74881,-95
BALOCHISTAN,NA,JAFFARABAD DISTRICT,JHAT PAT TEHSIL,252611,253107,496
BALOCHISTAN,NA,JAFFARABAD DISTRICT,USTA MUHAMMAD TEHSIL,186226,185984,-242
BALOCHISTAN,NA,JHAL MAGSI DISTRICT,GANDAWA TEHSIL,51206,51180,-26
BALOCHISTAN,NA,JHAL MAGSI DISTRICT,JHAL MAGSI TEHSIL,88575,88279,-296
BALOCHISTAN,NA,JHAL MAGSI DISTRICT,MIRPUR SUB-TEHSIL,9444,9441,-3
BALOCHISTAN,NA,KACHHI DISTRICT,BALANARI SUB-TEHSIL,43611,43341,-270
BALOCHISTAN,NA,KACHHI DISTRICT,DHADAR TEHSIL,42449,42389,-60
BALOCHISTAN,NA,KACHHI DISTRICT,KHATTAN SUB-TEHSIL,14211,14213,2
BALOCHISTAN,NA,KACHHI DISTRICT,MACH SUB-TEHSIL,39680,39629,-51
BALOCHISTAN,NA,KACHHI DISTRICT,SANNI SUB-TEHSIL,97079,96901,-178
BALOCHISTAN,NA,KALAT DISTRICT,GAZG SUB-TEHSIL,5726,5721,-5
BALOCHISTAN,NA,KALAT DISTRICT,JOHAN SUB-TEHSIL,10726,10708,-18
BALOCHISTAN,NA,KALAT DISTRICT,KALAT TEHSIL,129368,129094,-274
BALOCHISTAN,NA,KALAT DISTRICT,MANGOCHAR TEHSIL,65660,65678,18
BALOCHISTAN,NA,KALAT DISTRICT,SURAB TEHSIL,200752,200857,105
BALOCHISTAN,NA,KECH DISTRICT,BALNIGORE SUB-TEHSIL,45065,44595,-470
BALOCHISTAN,NA,KECH DISTRICT,BULAIDA SUB-TEHSIL,77115,77148,33
BALOCHISTAN,NA,KECH DISTRICT,DASHT SUB-TEHSIL,77291,76470,-821
BALOCHISTAN,NA,KECH DISTRICT,HOSHAB SUB-TEHSIL,51446,52947,1501
BALOCHISTAN,NA,KECH DISTRICT,KECH (TURBAT) TEHSIL,417898,416608,-1290
BALOCHISTAN,NA,KECH DISTRICT,MAND SUB-TEHSIL,50815,50995,180
BALOCHISTAN,NA,KECH DISTRICT,TUMP SUB-TEHSIL,146286,146008,-278
BALOCHISTAN,NA,KECH DISTRICT,ZAMORAN SUB-TEHSIL,43200,42411,-789
BALOCHISTAN,NA,KHARAN DISTRICT,KHARAN TEHSIL,73982,80703,6721
BALOCHISTAN,NA,KHARAN DISTRICT,SAR KHARAN TEHSIL,49480,49393,-87
BALOCHISTAN,NA,KHARAN DISTRICT,SUB TEHSIL TOHMULK,32690,32670,-20
BALOCHISTAN,NA,KHUZDAR DISTRICT,ARANJI SUB-TEHSIL,42401,42318,-83
BALOCHISTAN,NA,KHUZDAR DISTRICT,KARAKH SUB-TEHSIL,31057,31016,-41
BALOCHISTAN,NA,KHUZDAR DISTRICT,KHUZDAR TEHSIL,300355,299464,-891
BALOCHISTAN,NA,KHUZDAR DISTRICT,MOOLA SUB-TEHSIL,23385,23386,1
BALOCHISTAN,NA,KHUZDAR DISTRICT,NAL SUB-TEHSIL,131510,130897,-613
BALOCHISTAN,NA,KHUZDAR DISTRICT,ORNACH SUB-TEHSIl,37732,37588,-144
BALOCHISTAN,NA,KHUZDAR DISTRICT,SAROONA SUB-TEHSIL,32331,32125,-206
BALOCHISTAN,NA,KHUZDAR DISTRICT,WADH TEHSIL,101307,100115,-1192
BALOCHISTAN,NA,KHUZDAR DISTRICT,ZEHRI TEHSIL,102129,101987,-142
BALOCHISTAN,NA,KILLA ABDULLAH DISTRICT,CHAMAN TEHSIL,433768,434561,793
BALOCHISTAN,NA,KILLA ABDULLAH DISTRICT,DOBANDI SUB-TEHSIL,61723,61741,18
BALOCHISTAN,NA,KILLA ABDULLAH DISTRICT,GULISTAN TEHSIL,115172,114984,-188
BALOCHISTAN,NA,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH TEHSIL,146915,147068,153
BALOCHISTAN,NA,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,15301,15345,44
BALOCHISTAN,NA,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,33240,33242,2
BALOCHISTAN,NA,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,132264,132346,82
BALOCHISTAN,NA,KILLA SAIFULLAH DISTRICT,LOIBAND TEHSIL,28061,27962,-99
BALOCHISTAN,NA,KILLA SAIFULLAH DISTRICT,MUSLIM BAGH TEHSIL,78597,78711,114
BALOCHISTAN,NA,KILLA SAIFULLAH DISTRICT,SHINKI SUB-TEHSIL,55351,55326,-25
BALOCHISTAN,NA,KOHLU,GRISANI SUB-TEHSIL,17113,17027,-86
BALOCHISTAN,NA,KOHLU,KAHAN TEHSIL,73981,73833,-148
BALOCHISTAN,NA,KOHLU,KOHLU TEHSIL,45210,45152,-58
BALOCHISTAN,NA,KOHLU,MAWAND TEHSIL,41626,41516,-110
BALOCHISTAN,NA,KOHLU,TAMBOO TEHSIL,36420,36405,-15
BALOCHISTAN,NA,LASBELA DISTRICT,BELA TEHSIL,104438,104727,289
BALOCHISTAN,NA,LASBELA DISTRICT,DUREJI TEHSIL,45662,45541,-121
BALOCHISTAN,NA,LASBELA DISTRICT,GADDANI TEHSIL,24579,24593,14
BALOCHISTAN,NA,LASBELA DISTRICT,HUB TEHSIL,203020,205487,2467
BALOCHISTAN,NA,LASBELA DISTRICT,KANRAJ TEHSIL,12387,12389,2
BALOCHISTAN,NA,LASBELA DISTRICT,LAKHRA TEHSIL,35522,35495,-27
BALOCHISTAN,NA,LASBELA DISTRICT,LIARI TEHSIL,11766,11730,-36
BALOCHISTAN,NA,LASBELA DISTRICT,SONMIANI/WINDER TEHSIL,64392,64019,-373
BALOCHISTAN,NA,LASBELA DISTRICT,UTHAL TEHSIL,72526,72290,-236
BALOCHISTAN,NA,LEHRI DISTRICT,BHAG TEHSIL,73619,73459,-160
BALOCHISTAN,NA,LEHRI DISTRICT,LEHRI TEHSIL,44427,44490,63
BALOCHISTAN,NA,LORALAI DISTRICT,DUKI TEHSIL,153000,152977,-23
BALOCHISTAN,NA,LORALAI DISTRICT,LORALAI\BORI TEHSIL,203562,203579,17
