province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENT FREE,4,2058,5.55,6532,17.62,326
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,OWNED,5,30741,82.9,3861,10.41,3340
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENTED,5,4282,11.55,3861,10.41,340
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENT FREE,5,2058,5.55,3861,10.41,181
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,OWNED,6,30741,82.9,2476,6.68,2183
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENTED,6,4282,11.55,2476,6.68,207
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENT FREE,6,2058,5.55,2476,6.68,86
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,OWNED,7,30741,82.9,1340,3.61,1217
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENTED,7,4282,11.55,1340,3.61,78
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENT FREE,7,2058,5.55,1340,3.61,45
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,OWNED,8,30741,82.9,980,2.64,895
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENTED,8,4282,11.55,980,2.64,56
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENT FREE,8,2058,5.55,980,2.64,29
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,OWNED,9,30741,82.9,1601,4.32,1466
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENTED,9,4282,11.55,1601,4.32,84
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENT FREE,9,2058,5.55,1601,4.32,51
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,OWNED,1,6006,60.92,1183,12,485
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,RENTED,1,3166,32.11,1183,12,554
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,RENT FREE,1,687,6.97,1183,12,144
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,OWNED,2,6006,60.92,2371,24.05,1097
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,RENTED,2,3166,32.11,2371,24.05,1063
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,RENT FREE,2,687,6.97,2371,24.05,211
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,OWNED,3,6006,60.92,2038,20.67,1227
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,RENTED,3,3166,32.11,2038,20.67,696
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,RENT FREE,3,687,6.97,2038,20.67,115
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,OWNED,4,6006,60.92,1740,17.65,1170
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,RENTED,4,3166,32.11,1740,17.65,469
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,RENT FREE,4,687,6.97,1740,17.65,101
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,OWNED,5,6006,60.92,974,9.88,719
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,RENTED,5,3166,32.11,974,9.88,197
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,URBAN,RENT FREE,5,687,6.97,974,9.88,58
