province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,1 PERSON,1,711,0.98,2.18,6138,8.5,5.01,329
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,2 PERSONS,1,2190,3.03,2.14,6138,8.5,5.01,852
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,3 PERSONS,1,2941,4.07,2.38,6138,8.5,5.01,864
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,4 PERSONS,1,4033,5.59,2.55,6138,8.5,5.01,877
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 PERSONS,1,5740,7.95,2.78,6138,8.5,5.01,930
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,6 PERSONS,1,7130,9.87,2.99,6138,8.5,5.01,793
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,7 PERSONS,1,7750,10.73,3.23,6138,8.5,5.01,542
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,8 PERSONS,1,7519,10.41,3.46,6138,8.5,5.01,366
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,9 PERSONS,1,6415,8.88,3.69,6138,8.5,5.01,230
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,27778,38.47,4.96,6138,8.5,5.01,355
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,1 PERSON,2,711,0.98,2.18,14573,20.18,6.63,179
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,2 PERSONS,2,2190,3.03,2.14,14573,20.18,6.63,743
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,3 PERSONS,2,2941,4.07,2.38,14573,20.18,6.63,1026
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,4 PERSONS,2,4033,5.59,2.55,14573,20.18,6.63,1466
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 PERSONS,2,5740,7.95,2.78,14573,20.18,6.63,1873
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,6 PERSONS,2,7130,9.87,2.99,14573,20.18,6.63,2202
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,7 PERSONS,2,7750,10.73,3.23,14573,20.18,6.63,2112
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,8 PERSONS,2,7519,10.41,3.46,14573,20.18,6.63,1741
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,9 PERSONS,2,6415,8.88,3.69,14573,20.18,6.63,1222
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,10 PERSONS AND ABOVE,2,27778,38.47,4.96,14573,20.18,6.63,2009
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,1 PERSON,3,711,0.98,2.18,16886,23.39,8.14,94
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,2 PERSONS,3,2190,3.03,2.14,16886,23.39,8.14,315
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,3 PERSONS,3,2941,4.07,2.38,16886,23.39,8.14,582
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,4 PERSONS,3,4033,5.59,2.55,16886,23.39,8.14,940
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 PERSONS,3,5740,7.95,2.78,16886,23.39,8.14,1581
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,6 PERSONS,3,7130,9.87,2.99,16886,23.39,8.14,2050
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,7 PERSONS,3,7750,10.73,3.23,16886,23.39,8.14,2341
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,8 PERSONS,3,7519,10.41,3.46,16886,23.39,8.14,2270
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,9 PERSONS,3,6415,8.88,3.69,16886,23.39,8.14,1889
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,10 PERSONS AND ABOVE,3,27778,38.47,4.96,16886,23.39,8.14,4824
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,1 PERSON,4,711,0.98,2.18,13704,18.98,9.67,54
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,2 PERSONS,4,2190,3.03,2.14,13704,18.98,9.67,154
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,3 PERSONS,4,2941,4.07,2.38,13704,18.98,9.67,240
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,4 PERSONS,4,4033,5.59,2.55,13704,18.98,9.67,423
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 PERSONS,4,5740,7.95,2.78,13704,18.98,9.67,759
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,6 PERSONS,4,7130,9.87,2.99,13704,18.98,9.67,1188
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,7 PERSONS,4,7750,10.73,3.23,13704,18.98,9.67,1531
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,8 PERSONS,4,7519,10.41,3.46,13704,18.98,9.67,1658
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,9 PERSONS,4,6415,8.88,3.69,13704,18.98,9.67,1535
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,10 PERSONS AND ABOVE,4,27778,38.47,4.96,13704,18.98,9.67,6162
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,1 PERSON,5,711,0.98,2.18,8198,11.35,11.26,20
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,2 PERSONS,5,2190,3.03,2.14,8198,11.35,11.26,57
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,3 PERSONS,5,2941,4.07,2.38,8198,11.35,11.26,121
