province_name,district_code,district_name,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,3192,2756289,1334775,1421295,219,93.91,863.5,30.02,6.2,2048008,1.57
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,NA,1928789,918346,1010297,146,90.9,NA,NA,6.25,1479836,1.4
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,NA,827500,416429,410998,73,101.32,NA,NA,6.08,568172,1.99
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,TOTAL,1463,1497706,726071,771507,128,94.11,1023.72,36.24,6.23,1093088,1.67
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,RURAL,NA,954998,458232,496703,63,92.25,NA,NA,6.3,729885,1.42
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,URBAN,NA,542708,267839,274804,65,97.47,NA,NA,6.11,363203,2.13
PUNJAB,048,GUJRAT DISTRICT,KHARIAN TEHSIL,TOTAL,1154,1011262,490199,520990,73,94.09,876.31,22.74,6.21,779632,1.38
PUNJAB,048,GUJRAT DISTRICT,KHARIAN TEHSIL,RURAL,NA,781334,368221,413045,68,89.15,NA,NA,6.25,611829,1.29
PUNJAB,048,GUJRAT DISTRICT,KHARIAN TEHSIL,URBAN,NA,229928,121978,107945,5,113,NA,NA,6.07,167803,1.67
PUNJAB,048,GUJRAT DISTRICT,SARAI ALAMGIR TEHSIL,TOTAL,575,247321,118505,128798,18,92.01,430.12,22.18,5.97,175288,1.82
PUNJAB,048,GUJRAT DISTRICT,SARAI ALAMGIR TEHSIL,RURAL,NA,192457,91893,100549,15,91.39,NA,NA,6.01,138122,1.76
PUNJAB,048,GUJRAT DISTRICT,SARAI ALAMGIR TEHSIL,URBAN,NA,54864,26612,28249,3,94.21,NA,NA,5.81,37166,2.07
