province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,utility,source,total_by_source,percent_by_source,count
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,OUTSIDE WATER,CANAL/RIVER/POND,21,0.01,3
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,OUTSIDE WATER,OTHERS,4294,1.13,407
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,COOKING FUEL,WOOD,176375,46.48,19939
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,COOKING FUEL,GAS,179338,47.26,18182
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,COOKING FUEL,KEROSENE OIL,241,0.06,50
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,COOKING FUEL,OTHERS,23545,6.2,3303
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,LIGHTING SOURCE,ELECTRICITY,375682,98.99,40459
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,LIGHTING SOURCE,KEROSENE OIL,1820,0.48,364
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,LIGHTING SOURCE,GAS LAMP,84,0.02,25
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,LIGHTING SOURCE,OTHERS,1913,0.5,626
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,INSIDE WATER,TAP,56660,14.93,13468
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,INSIDE WATER,ELECTRIC/HAND PUMP,270470,71.27,70041
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,INSIDE WATER,PROTECTED WELL,390,0.1,110
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,INSIDE WATER,UN-PROTECTED WELL,342,0.09,56
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,INSIDE WATER,OTHERS,6468,1.7,1235
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,OUTSIDE WATER,TAP,17792,4.69,3954
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,OUTSIDE WATER,ELECTRIC/HAND PUMP,22891,6.03,5668
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,OUTSIDE WATER,PROTECTED WELL,35,0.01,8
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,OUTSIDE WATER,UN-PROTECTED WELL,76,0.02,19
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,OUTSIDE WATER,SPRING,60,0.02,13
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,OUTSIDE WATER,CANAL/RIVER/POND,21,0.01,6
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,OUTSIDE WATER,OTHERS,4294,1.13,802
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,COOKING FUEL,WOOD,176375,46.48,44736
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,COOKING FUEL,GAS,179338,47.26,45012
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,COOKING FUEL,KEROSENE OIL,241,0.06,76
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,COOKING FUEL,OTHERS,23545,6.2,5556
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,LIGHTING SOURCE,ELECTRICITY,375682,98.99,94388
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,LIGHTING SOURCE,KEROSENE OIL,1820,0.48,491
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,LIGHTING SOURCE,GAS LAMP,84,0.02,18
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,LIGHTING SOURCE,OTHERS,1913,0.5,483
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,INSIDE WATER,TAP,56660,14.93,34223
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,INSIDE WATER,ELECTRIC/HAND PUMP,270470,71.27,162109
