province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,utility,source,total_by_source,percent_by_source,count
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,RENTED,37689,8.63,OUTSIDE WATER,SPRING,74,0.02,6
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,RENTED,37689,8.63,OUTSIDE WATER,CANAL/RIVER/POND,25,0.01,0
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,RENTED,37689,8.63,OUTSIDE WATER,OTHERS,5587,1.28,860
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,RENTED,37689,8.63,COOKING FUEL,WOOD,194998,44.63,2916
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,RENTED,37689,8.63,COOKING FUEL,GAS,214002,48.98,3228
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,RENTED,37689,8.63,COOKING FUEL,KEROSENE OIL,325,0.07,2
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,RENTED,37689,8.63,COOKING FUEL,OTHERS,27627,6.32,9
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,RENTED,37689,8.63,LIGHTING SOURCE,ELECTRICITY,194998,44.63,7382
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,RENTED,37689,8.63,LIGHTING SOURCE,KEROSENE OIL,214002,48.98,27878
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,RENTED,37689,8.63,LIGHTING SOURCE,GAS LAMP,325,0.07,54
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,RENTED,37689,8.63,LIGHTING SOURCE,OTHERS,27627,6.32,2375
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,RENT FREE,19764,4.52,INSIDE WATER,TOTAL INSIDE,381185,87.24,16187
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,RENT FREE,19764,4.52,INSIDE WATER,TAP,70811,16.21,4604
