province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,literacy_ratio,literacy_status,count
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,254309,41.37,ILLITERATE,149113
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,10 - 14,50752,58.54,ILLITERATE,21042
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,15 - 19,37769,53.89,ILLITERATE,17416
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,20 - 24,30956,43.96,ILLITERATE,17349
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,25 - 29,30175,39.11,ILLITERATE,18374
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,30 - 34,21859,37.72,ILLITERATE,13613
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,35 - 39,17659,35.29,ILLITERATE,11427
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,40 - 44,14382,30.69,ILLITERATE,9968
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,45 - 49,12086,24.28,ILLITERATE,9151
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,50 - 54,11010,22.53,ILLITERATE,8529
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,55 - 59,8244,22.73,ILLITERATE,6370
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,60 - 64,7375,20.49,ILLITERATE,5864
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,65 - 69,5023,18.06,ILLITERATE,4116
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,70 - 74,3390,17.37,ILLITERATE,2801
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,3629,14.77,ILLITERATE,3093
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,254309,41.37,TOTAL LITERATE,105196
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,10 - 14,50752,58.54,TOTAL LITERATE,29710
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,15 - 19,37769,53.89,TOTAL LITERATE,20353
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,20 - 24,30956,43.96,TOTAL LITERATE,13607
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,25 - 29,30175,39.11,TOTAL LITERATE,11801
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,30 - 34,21859,37.72,TOTAL LITERATE,8246
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,35 - 39,17659,35.29,TOTAL LITERATE,6232
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,40 - 44,14382,30.69,TOTAL LITERATE,4414
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,45 - 49,12086,24.28,TOTAL LITERATE,2935
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,50 - 54,11010,22.53,TOTAL LITERATE,2481
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,55 - 59,8244,22.73,TOTAL LITERATE,1874
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,60 - 64,7375,20.49,TOTAL LITERATE,1511
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,65 - 69,5023,18.06,TOTAL LITERATE,907
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,70 - 74,3390,17.37,TOTAL LITERATE,589
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,3629,14.77,TOTAL LITERATE,536
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,254309,41.37,FORMAL LITERATE,100800
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,10 - 14,50752,58.54,FORMAL LITERATE,29035
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,15 - 19,37769,53.89,FORMAL LITERATE,19813
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,20 - 24,30956,43.96,FORMAL LITERATE,13057
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,25 - 29,30175,39.11,FORMAL LITERATE,11180
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,30 - 34,21859,37.72,FORMAL LITERATE,7823
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,35 - 39,17659,35.29,FORMAL LITERATE,5880
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,40 - 44,14382,30.69,FORMAL LITERATE,4157
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,45 - 49,12086,24.28,FORMAL LITERATE,2749
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,50 - 54,11010,22.53,FORMAL LITERATE,2267
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,55 - 59,8244,22.73,FORMAL LITERATE,1719
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,60 - 64,7375,20.49,FORMAL LITERATE,1349
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,65 - 69,5023,18.06,FORMAL LITERATE,815
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,70 - 74,3390,17.37,FORMAL LITERATE,516
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,3629,14.77,FORMAL LITERATE,440
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,254309,41.37,INFORMAL LITERATE,4396
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,10 - 14,50752,58.54,INFORMAL LITERATE,675
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,15 - 19,37769,53.89,INFORMAL LITERATE,540
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,20 - 24,30956,43.96,INFORMAL LITERATE,550
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,25 - 29,30175,39.11,INFORMAL LITERATE,621
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,30 - 34,21859,37.72,INFORMAL LITERATE,423
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,35 - 39,17659,35.29,INFORMAL LITERATE,352
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,40 - 44,14382,30.69,INFORMAL LITERATE,257
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,45 - 49,12086,24.28,INFORMAL LITERATE,186
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,50 - 54,11010,22.53,INFORMAL LITERATE,214
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,55 - 59,8244,22.73,INFORMAL LITERATE,155
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,60 - 64,7375,20.49,INFORMAL LITERATE,162
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,65 - 69,5023,18.06,INFORMAL LITERATE,92
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,70 - 74,3390,17.37,INFORMAL LITERATE,73
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,3629,14.77,INFORMAL LITERATE,96
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,MALE,10 AND ABOVE,129084,60.5,ILLITERATE,50983
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,MALE,10 - 14,27361,74.06,ILLITERATE,7097
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,MALE,15 - 19,19723,72.06,ILLITERATE,5510
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,MALE,20 - 24,14903,66.72,ILLITERATE,4959
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,MALE,25 - 29,14305,62.57,ILLITERATE,5355
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,MALE,30 - 34,10751,60.85,ILLITERATE,4209
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,MALE,35 - 39,8820,58.33,ILLITERATE,3675
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,MALE,40 - 44,7019,52.74,ILLITERATE,3317
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,MALE,45 - 49,5885,42.6,ILLITERATE,3378
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,MALE,50 - 54,5756,36.74,ILLITERATE,3641
