province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,RENTED,5,2012,0.89,8132,3.61,37
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,RENT FREE,5,9554,4.24,8132,3.61,164
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,OWNED,6,213909,94.87,4306,1.91,4203
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,RENTED,6,2012,0.89,4306,1.91,24
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,RENT FREE,6,9554,4.24,4306,1.91,79
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,OWNED,7,213909,94.87,2024,0.9,1985
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,RENTED,7,2012,0.89,2024,0.9,9
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,RENT FREE,7,9554,4.24,2024,0.9,30
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,OWNED,8,213909,94.87,1186,0.53,1158
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,RENTED,8,2012,0.89,1186,0.53,2
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,RENT FREE,8,9554,4.24,1186,0.53,26
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,OWNED,9,213909,94.87,1664,0.74,1522
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,RENTED,9,2012,0.89,1664,0.74,6
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,RENT FREE,9,9554,4.24,1664,0.74,136
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,OWNED,1,36477,87.18,9284,22.19,8177
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENTED,1,4278,10.22,9284,22.19,695
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENT FREE,1,1087,2.6,9284,22.19,412
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,OWNED,2,36477,87.18,14108,33.72,11899
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENTED,2,4278,10.22,14108,33.72,1825
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENT FREE,2,1087,2.6,14108,33.72,384
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,OWNED,3,36477,87.18,8865,21.19,7600
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENTED,3,4278,10.22,8865,21.19,1072
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENT FREE,3,1087,2.6,8865,21.19,193
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,OWNED,4,36477,87.18,4966,11.87,4500
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENTED,4,4278,10.22,4966,11.87,411
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENT FREE,4,1087,2.6,4966,11.87,55
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,OWNED,5,36477,87.18,2158,5.16,1978
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENTED,5,4278,10.22,2158,5.16,155
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENT FREE,5,1087,2.6,2158,5.16,25
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,OWNED,6,36477,87.18,1161,2.77,1092
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,URBAN,RENTED,6,4278,10.22,1161,2.77,62
