province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,1 PERSON,1,194,0.8,2.21,3980,16.36,5.21,88
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,2 PERSONS,1,1955,8.04,2.11,3980,16.36,5.21,713
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,3 PERSONS,1,2081,8.55,2.32,3980,16.36,5.21,607
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,4 PERSONS,1,2633,10.82,2.45,3980,16.36,5.21,593
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 PERSONS,1,2794,11.49,2.6,3980,16.36,5.21,498
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,6 PERSONS,1,2798,11.5,2.67,3980,16.36,5.21,382
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,7 PERSONS,1,2745,11.28,2.83,3980,16.36,5.21,320
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,8 PERSONS,1,2404,9.88,3.07,3980,16.36,5.21,221
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,9 PERSONS,1,1849,7.6,3.26,3980,16.36,5.21,162
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,4872,20.03,3.67,3980,16.36,5.21,396
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,1 PERSON,2,194,0.8,2.21,8232,33.84,6.16,46
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,2 PERSONS,2,1955,8.04,2.11,8232,33.84,6.16,737
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,3 PERSONS,2,2081,8.55,2.32,8232,33.84,6.16,810
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,4 PERSONS,2,2633,10.82,2.45,8232,33.84,6.16,1062
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 PERSONS,2,2794,11.49,2.6,8232,33.84,6.16,1089
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,6 PERSONS,2,2798,11.5,2.67,8232,33.84,6.16,1120
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,7 PERSONS,2,2745,11.28,2.83,8232,33.84,6.16,1011
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,8 PERSONS,2,2404,9.88,3.07,8232,33.84,6.16,747
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,9 PERSONS,2,1849,7.6,3.26,8232,33.84,6.16,500
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,10 PERSONS AND ABOVE,2,4872,20.03,3.67,8232,33.84,6.16,1110
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,1 PERSON,3,194,0.8,2.21,5484,22.54,7.14,24
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,2 PERSONS,3,1955,8.04,2.11,5484,22.54,7.14,234
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,3 PERSONS,3,2081,8.55,2.32,5484,22.54,7.14,319
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,4 PERSONS,3,2633,10.82,2.45,5484,22.54,7.14,518
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 PERSONS,3,2794,11.49,2.6,5484,22.54,7.14,654
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,6 PERSONS,3,2798,11.5,2.67,5484,22.54,7.14,713
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,7 PERSONS,3,2745,11.28,2.83,5484,22.54,7.14,737
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,8 PERSONS,3,2404,9.88,3.07,5484,22.54,7.14,664
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,9 PERSONS,3,1849,7.6,3.26,5484,22.54,7.14,488
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,10 PERSONS AND ABOVE,3,4872,20.03,3.67,5484,22.54,7.14,1133
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,1 PERSON,4,194,0.8,2.21,3617,14.87,7.6,19
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,2 PERSONS,4,1955,8.04,2.11,3617,14.87,7.6,176
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,3 PERSONS,4,2081,8.55,2.32,3617,14.87,7.6,207
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,4 PERSONS,4,2633,10.82,2.45,3617,14.87,7.6,291
