province_name,district_code,district_name,area_name,area_type,construction_age,roof_material,total_by_roof_material,percent_by_roof_material,wall_material,total_by_wall_material,percent_by_wall_material,count
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,316,1.33,OTHERS,34,0.14,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,316,1.33,BAKED BRICKS/BLOCKS/STONES,1738,7.31,9
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,316,1.33,UNBAKED BRICKS/MUD,2491,10.47,14
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,316,1.33,WOOD/BAMBOO,536,2.25,2
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,316,1.33,OTHERS,171,0.72,1
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,316,1.33,BAKED BRICKS/BLOCKS/STONES,6169,25.94,57
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,316,1.33,UNBAKED BRICKS/MUD,4852,20.4,118
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,316,1.33,WOOD/BAMBOO,1844,7.75,8
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,316,1.33,OTHERS,1418,5.96,2
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,316,1.33,BAKED BRICKS/BLOCKS/STONES,1446,6.08,14
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,316,1.33,UNBAKED BRICKS/MUD,905,3.8,59
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,316,1.33,WOOD/BAMBOO,139,0.58,3
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,316,1.33,OTHERS,596,2.51,1
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,3463,14.56,BAKED BRICKS/BLOCKS/STONES,84,0.35,16
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,3463,14.56,UNBAKED BRICKS/MUD,97,0.41,22
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,3463,14.56,WOOD/BAMBOO,30,0.13,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,3463,14.56,OTHERS,30,0.13,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,3463,14.56,BAKED BRICKS/BLOCKS/STONES,404,1.7,57
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,3463,14.56,UNBAKED BRICKS/MUD,622,2.62,115
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,3463,14.56,WOOD/BAMBOO,179,0.75,10
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,3463,14.56,OTHERS,34,0.14,1
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,GARDER/T.IRON,3463,14.56,BAKED BRICKS/BLOCKS/STONES,1738,7.31,252
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,GARDER/T.IRON,3463,14.56,UNBAKED BRICKS/MUD,2491,10.47,630
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,GARDER/T.IRON,3463,14.56,WOOD/BAMBOO,536,2.25,42
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,GARDER/T.IRON,3463,14.56,OTHERS,171,0.72,2
