province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,URBAN,MALE,951930,52.12,HOMELESS,219,0.06,533
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,URBAN,MALE,951930,52.12,TOTAL,362423,100,951930
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,URBAN,FEMALE,874321,47.87,REGULAR,358586,98.94,863978
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,URBAN,FEMALE,874321,47.87,INSTITUTIONAL,3618,1,10250
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,URBAN,FEMALE,874321,47.87,HOMELESS,219,0.06,93
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,URBAN,FEMALE,874321,47.87,TOTAL,362423,100,874321
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,URBAN,TRANSGENDER,267,0.01,REGULAR,358586,98.94,258
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,URBAN,TRANSGENDER,267,0.01,INSTITUTIONAL,3618,1,8
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,URBAN,TRANSGENDER,267,0.01,HOMELESS,219,0.06,1
SINDH,085,HYDERABAD DISTRICT,HYDERABAD DISTRICT,URBAN,TRANSGENDER,267,0.01,TOTAL,362423,100,267
SINDH,085,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,TOTAL,ALL SEXES,725153,100,REGULAR,140924,98.83,708202
SINDH,085,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,TOTAL,ALL SEXES,725153,100,INSTITUTIONAL,1560,1.09,16592
SINDH,085,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,TOTAL,ALL SEXES,725153,100,HOMELESS,109,0.08,359
SINDH,085,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,TOTAL,ALL SEXES,725153,100,TOTAL,142593,100,725153
SINDH,085,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,TOTAL,MALE,377362,52.04,REGULAR,140924,98.83,364961
SINDH,085,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,TOTAL,MALE,377362,52.04,INSTITUTIONAL,1560,1.09,12085
SINDH,085,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,TOTAL,MALE,377362,52.04,HOMELESS,109,0.08,316
SINDH,085,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,TOTAL,MALE,377362,52.04,TOTAL,142593,100,377362
SINDH,085,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,TOTAL,FEMALE,347701,47.95,REGULAR,140924,98.83,343155
SINDH,085,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,TOTAL,FEMALE,347701,47.95,INSTITUTIONAL,1560,1.09,4504
SINDH,085,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,TOTAL,FEMALE,347701,47.95,HOMELESS,109,0.08,42
SINDH,085,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,TOTAL,FEMALE,347701,47.95,TOTAL,142593,100,347701
SINDH,085,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,TOTAL,TRANSGENDER,90,0.01,REGULAR,140924,98.83,86
