province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,1 PERSON,1,398,0.94,1.76,4943,11.7,5.14,248
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,2 PERSONS,1,1436,3.4,2.11,4943,11.7,5.14,637
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,3 PERSONS,1,2299,5.44,2.47,4943,11.7,5.14,687
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,4 PERSONS,1,4174,9.88,2.73,4943,11.7,5.14,869
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,5 PERSONS,1,4744,11.23,3.1,4943,11.7,5.14,674
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,6 PERSONS,1,5250,12.42,3.39,4943,11.7,5.14,534
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,7 PERSONS,1,5000,11.83,3.67,4943,11.7,5.14,370
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,8 PERSONS,1,4419,10.46,4,4943,11.7,5.14,258
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,9 PERSONS,1,3555,8.41,4.33,4943,11.7,5.14,195
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,10985,25.99,4.86,4943,11.7,5.14,471
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,1 PERSON,2,398,0.94,1.76,8065,19.08,5.97,93
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,2 PERSONS,2,1436,3.4,2.11,8065,19.08,5.97,433
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,3 PERSONS,2,2299,5.44,2.47,8065,19.08,5.97,742
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,4 PERSONS,2,4174,9.88,2.73,8065,19.08,5.97,1384
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,5 PERSONS,2,4744,11.23,3.1,8065,19.08,5.97,1320
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,6 PERSONS,2,5250,12.42,3.39,8065,19.08,5.97,1220
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,7 PERSONS,2,5000,11.83,3.67,8065,19.08,5.97,932
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,8 PERSONS,2,4419,10.46,4,8065,19.08,5.97,637
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,9 PERSONS,2,3555,8.41,4.33,8065,19.08,5.97,398
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,10 PERSONS AND ABOVE,2,10985,25.99,4.86,8065,19.08,5.97,906
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,1 PERSON,3,398,0.94,1.76,7969,18.86,7.11,15
BALOCHISTAN,113,PANJGUR DISTRICT,PANJGUR DISTRICT,TOTAL,2 PERSONS,3,1436,3.4,2.11,7969,18.86,7.11,147
