province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,6 PERSONS,4,94139,16.42,3.05,95417,16.64,7.29,14918
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,7 PERSONS,4,76100,13.27,3.17,95417,16.64,7.29,13007
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,8 PERSONS,4,53618,9.35,3.32,95417,16.64,7.29,10003
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,9 PERSONS,4,34970,6.1,3.57,95417,16.64,7.29,7074
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,10 PERSONS AND ABOVE,4,89042,15.53,4.4,95417,16.64,7.29,19957
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,1 PERSON,5,10792,1.88,2.44,45867,8,7.85,466
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,2 PERSONS,5,24043,4.19,2.57,45867,8,7.85,1156
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,3 PERSONS,5,40144,7,2.71,45867,8,7.85,2081
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,4 PERSONS,5,63086,11,2.84,45867,8,7.85,3788
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5 PERSONS,5,87412,15.25,2.95,45867,8,7.85,5729
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,6 PERSONS,5,94139,16.42,3.05,45867,8,7.85,6602
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,7 PERSONS,5,76100,13.27,3.17,45867,8,7.85,5906
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,8 PERSONS,5,53618,9.35,3.32,45867,8,7.85,4543
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,9 PERSONS,5,34970,6.1,3.57,45867,8,7.85,3424
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,10 PERSONS AND ABOVE,5,89042,15.53,4.4,45867,8,7.85,12172
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,1 PERSON,6,10792,1.88,2.44,30092,5.25,8.44,315
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,2 PERSONS,6,24043,4.19,2.57,30092,5.25,8.44,656
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,3 PERSONS,6,40144,7,2.71,30092,5.25,8.44,1220
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,4 PERSONS,6,63086,11,2.84,30092,5.25,8.44,2148
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5 PERSONS,6,87412,15.25,2.95,30092,5.25,8.44,3392
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,6 PERSONS,6,94139,16.42,3.05,30092,5.25,8.44,4036
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,7 PERSONS,6,76100,13.27,3.17,30092,5.25,8.44,3498
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,8 PERSONS,6,53618,9.35,3.32,30092,5.25,8.44,2806
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,9 PERSONS,6,34970,6.1,3.57,30092,5.25,8.44,2329
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,10 PERSONS AND ABOVE,6,89042,15.53,4.4,30092,5.25,8.44,9692
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,1 PERSON,7,10792,1.88,2.44,13034,2.27,8.75,142
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,2 PERSONS,7,24043,4.19,2.57,13034,2.27,8.75,304
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,3 PERSONS,7,40144,7,2.71,13034,2.27,8.75,542
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,4 PERSONS,7,63086,11,2.84,13034,2.27,8.75,895
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5 PERSONS,7,87412,15.25,2.95,13034,2.27,8.75,1370
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,6 PERSONS,7,94139,16.42,3.05,13034,2.27,8.75,1597
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,7 PERSONS,7,76100,13.27,3.17,13034,2.27,8.75,1497
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,8 PERSONS,7,53618,9.35,3.32,13034,2.27,8.75,1203
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,9 PERSONS,7,34970,6.1,3.57,13034,2.27,8.75,936
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,10 PERSONS AND ABOVE,7,89042,15.53,4.4,13034,2.27,8.75,4548
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,1 PERSON,8,10792,1.88,2.44,9441,1.65,9.54,94
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,2 PERSONS,8,24043,4.19,2.57,9441,1.65,9.54,204
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,3 PERSONS,8,40144,7,2.71,9441,1.65,9.54,342
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,4 PERSONS,8,63086,11,2.84,9441,1.65,9.54,583
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5 PERSONS,8,87412,15.25,2.95,9441,1.65,9.54,801
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,6 PERSONS,8,94139,16.42,3.05,9441,1.65,9.54,984
