province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,utility,source,total_by_source,percent_by_source,count
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,LESS THAN 5 YEARS,78610,15.79,OUTSIDE WATER,CANAL/RIVER/POND,325,0.07,76
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,LESS THAN 5 YEARS,78610,15.79,OUTSIDE WATER,OTHERS,7624,1.53,1313
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,LESS THAN 5 YEARS,78610,15.79,COOKING FUEL,WOOD,144311,28.99,27344
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,LESS THAN 5 YEARS,78610,15.79,COOKING FUEL,GAS,261853,52.61,35086
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,LESS THAN 5 YEARS,78610,15.79,COOKING FUEL,KEROSENE OIL,543,0.11,121
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,LESS THAN 5 YEARS,78610,15.79,COOKING FUEL,OTHERS,91060,18.29,16059
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,LESS THAN 5 YEARS,78610,15.79,LIGHTING SOURCE,ELECTRICITY,493232,99.09,77325
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,LESS THAN 5 YEARS,78610,15.79,LIGHTING SOURCE,KEROSENE OIL,2597,0.52,614
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,LESS THAN 5 YEARS,78610,15.79,LIGHTING SOURCE,GAS LAMP,152,0.03,44
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,LESS THAN 5 YEARS,78610,15.79,LIGHTING SOURCE,OTHERS,1786,0.36,627
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,INSIDE WATER,TAP,89084,17.9,18669
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,INSIDE WATER,ELECTRIC/HAND PUMP,368894,74.11,104910
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,INSIDE WATER,PROTECTED WELL,352,0.07,144
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,INSIDE WATER,UN-PROTECTED WELL,552,0.11,115
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,INSIDE WATER,OTHERS,3956,0.79,874
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5-10 YEARS,133191,26.76,OUTSIDE WATER,TAP,10263,2.06,2435
