province_name,district_code,district_name,area_name,area_type,information_source,count
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,URBAN,COMPUTER/INTERNET,0
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,10461
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,TOTAL,RADIO,6255
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,TOTAL,TV,2623
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,TOTAL,NEWSPAPER,348
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,TOTAL,MOBILE,5640
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,TOTAL,COMPUTER/INTERNET,6873
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,10461
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,RURAL,RADIO,6255
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,RURAL,TV,2623
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,RURAL,NEWSPAPER,348
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,RURAL,MOBILE,5640
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,RURAL,COMPUTER/INTERNET,6873
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,0
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,URBAN,RADIO,0
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,URBAN,TV,0
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,URBAN,NEWSPAPER,0
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,URBAN,MOBILE,0
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,URBAN,COMPUTER/INTERNET,0
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,6819
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,TOTAL,RADIO,6149
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,TOTAL,TV,23
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,TOTAL,NEWSPAPER,47
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,TOTAL,MOBILE,502
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,TOTAL,COMPUTER/INTERNET,2315
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,6819
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,RURAL,RADIO,6149
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,RURAL,TV,23
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,RURAL,NEWSPAPER,47
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,RURAL,MOBILE,502
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,RURAL,COMPUTER/INTERNET,2315
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,0
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,URBAN,RADIO,0
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,URBAN,TV,0
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,URBAN,NEWSPAPER,0
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,URBAN,MOBILE,0
FATA,030,ORAKZAI AGENCY,UPPER TEHSIL,URBAN,COMPUTER/INTERNET,0
