province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,OWNED,195279,97.32,ROOF,WOOD/BAMBOO,43127,21.49,41660
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,OWNED,195279,97.32,ROOF,OTHERS,3887,1.94,3736
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENTED,2578,1.28,WALL,BAKED BRICKS/BLOCKS/STONES,188136,93.76,2368
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENTED,2578,1.28,WALL,UNBAKED BRICKS/MUD,8928,4.45,138
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENTED,2578,1.28,WALL,WOOD/BAMBOO,1171,0.58,42
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENTED,2578,1.28,WALL,OTHERS,2428,1.21,30
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENTED,2578,1.28,ROOF,RCC/RBC,48751,24.29,866
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENTED,2578,1.28,ROOF,CEMENT/IRON SHEETS,4577,2.28,86
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENTED,2578,1.28,ROOF,GARDER/T.IRON,100321,49.99,993
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENTED,2578,1.28,ROOF,WOOD/BAMBOO,43127,21.49,592
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENTED,2578,1.28,ROOF,OTHERS,3887,1.94,41
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENT FREE,2806,1.4,WALL,BAKED BRICKS/BLOCKS/STONES,188136,93.76,2482
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENT FREE,2806,1.4,WALL,UNBAKED BRICKS/MUD,8928,4.45,191
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENT FREE,2806,1.4,WALL,WOOD/BAMBOO,1171,0.58,58
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENT FREE,2806,1.4,WALL,OTHERS,2428,1.21,75
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENT FREE,2806,1.4,ROOF,RCC/RBC,48751,24.29,534
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENT FREE,2806,1.4,ROOF,CEMENT/IRON SHEETS,4577,2.28,110
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENT FREE,2806,1.4,ROOF,GARDER/T.IRON,100321,49.99,1177
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENT FREE,2806,1.4,ROOF,WOOD/BAMBOO,43127,21.49,875
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,RENT FREE,2806,1.4,ROOF,OTHERS,3887,1.94,110
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,OWNED,33321,84.57,WALL,BAKED BRICKS/BLOCKS/STONES,38278,97.15,32429
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,OWNED,33321,84.57,WALL,UNBAKED BRICKS/MUD,521,1.32,446
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,OWNED,33321,84.57,WALL,WOOD/BAMBOO,171,0.43,111
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,OWNED,33321,84.57,WALL,OTHERS,432,1.1,335
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,OWNED,33321,84.57,ROOF,RCC/RBC,26833,68.1,22761
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,OWNED,33321,84.57,ROOF,CEMENT/IRON SHEETS,1321,3.35,1140
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,OWNED,33321,84.57,ROOF,GARDER/T.IRON,7057,17.91,5889
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,OWNED,33321,84.57,ROOF,WOOD/BAMBOO,3637,9.23,3102
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,OWNED,33321,84.57,ROOF,OTHERS,554,1.41,429
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENTED,5359,13.6,WALL,BAKED BRICKS/BLOCKS/STONES,38278,97.15,5228
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENTED,5359,13.6,WALL,UNBAKED BRICKS/MUD,521,1.32,61
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENTED,5359,13.6,WALL,WOOD/BAMBOO,171,0.43,14
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENTED,5359,13.6,WALL,OTHERS,432,1.1,56
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENTED,5359,13.6,ROOF,RCC/RBC,26833,68.1,3640
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENTED,5359,13.6,ROOF,CEMENT/IRON SHEETS,1321,3.35,165
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENTED,5359,13.6,ROOF,GARDER/T.IRON,7057,17.91,1055
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENTED,5359,13.6,ROOF,WOOD/BAMBOO,3637,9.23,436
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENTED,5359,13.6,ROOF,OTHERS,554,1.41,63
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENT FREE,722,1.83,WALL,BAKED BRICKS/BLOCKS/STONES,38278,97.15,621
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENT FREE,722,1.83,WALL,UNBAKED BRICKS/MUD,521,1.32,14
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENT FREE,722,1.83,WALL,WOOD/BAMBOO,171,0.43,46
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENT FREE,722,1.83,WALL,OTHERS,432,1.1,41
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENT FREE,722,1.83,ROOF,RCC/RBC,26833,68.1,432
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENT FREE,722,1.83,ROOF,CEMENT/IRON SHEETS,1321,3.35,16
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENT FREE,722,1.83,ROOF,GARDER/T.IRON,7057,17.91,113
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENT FREE,722,1.83,ROOF,WOOD/BAMBOO,3637,9.23,99
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,URBAN,RENT FREE,722,1.83,ROOF,OTHERS,554,1.41,62
