province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,1 PERSON,1,4356,1.81,2.26,30511,12.71,5.3,1616
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,2 PERSONS,1,8714,3.63,2.48,30511,12.71,5.3,2282
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,3 PERSONS,1,13897,5.79,2.57,30511,12.71,5.3,3180
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,4 PERSONS,1,21608,9,2.68,30511,12.71,5.3,4182
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,5 PERSONS,1,31479,13.11,2.8,30511,12.71,5.3,5159
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,6 PERSONS,1,37706,15.71,2.89,30511,12.71,5.3,5219
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,7 PERSONS,1,34534,14.39,3.01,30511,12.71,5.3,3953
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,8 PERSONS,1,26268,10.94,3.16,30511,12.71,5.3,2390
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,9 PERSONS,1,18364,7.65,3.35,30511,12.71,5.3,1287
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,43139,17.97,4.1,30511,12.71,5.3,1243
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,1 PERSON,2,4356,1.81,2.26,67329,28.05,6.23,1341
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,2 PERSONS,2,8714,3.63,2.48,67329,28.05,6.23,3010
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,3 PERSONS,2,13897,5.79,2.57,67329,28.05,6.23,4702
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,4 PERSONS,2,21608,9,2.68,67329,28.05,6.23,7177
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,5 PERSONS,2,31479,13.11,2.8,67329,28.05,6.23,10163
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,6 PERSONS,2,37706,15.71,2.89,67329,28.05,6.23,12076
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,7 PERSONS,2,34534,14.39,3.01,67329,28.05,6.23,10480
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,8 PERSONS,2,26268,10.94,3.16,67329,28.05,6.23,7512
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,9 PERSONS,2,18364,7.65,3.35,67329,28.05,6.23,4599
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,10 PERSONS AND ABOVE,2,43139,17.97,4.1,67329,28.05,6.23,6269
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,1 PERSON,3,4356,1.81,2.26,61879,25.78,7.03,700
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,2 PERSONS,3,8714,3.63,2.48,61879,25.78,7.03,1763
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,3 PERSONS,3,13897,5.79,2.57,61879,25.78,7.03,3136
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,4 PERSONS,3,21608,9,2.68,61879,25.78,7.03,5240
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,5 PERSONS,3,31479,13.11,2.8,61879,25.78,7.03,8245
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,6 PERSONS,3,37706,15.71,2.89,61879,25.78,7.03,10024
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,7 PERSONS,3,34534,14.39,3.01,61879,25.78,7.03,9634
