province_name,district_code,district_name,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
SINDH,089,TANDO ALLAHYAR DISTRICT,TANDO ALLAHYAR DISTRICT,TOTAL,1554,838527,432697,405709,121,106.65,539.59,31.97,5.04,493526,2.82
SINDH,089,TANDO ALLAHYAR DISTRICT,TANDO ALLAHYAR DISTRICT,RURAL,NA,570428,294308,276048,72,106.61,NA,NA,5.02,387270,2.06
SINDH,089,TANDO ALLAHYAR DISTRICT,TANDO ALLAHYAR DISTRICT,URBAN,NA,268099,138389,129661,49,106.73,NA,NA,5.07,106256,4.98
SINDH,089,TANDO ALLAHYAR DISTRICT,CHAMBER TALUKA,TOTAL,483,210202,108090,102092,20,105.88,435.2,17.21,5,125558,2.74
SINDH,089,TANDO ALLAHYAR DISTRICT,CHAMBER TALUKA,RURAL,NA,174017,89467,84533,17,105.84,NA,NA,5.01,114871,2.21
SINDH,089,TANDO ALLAHYAR DISTRICT,CHAMBER TALUKA,URBAN,NA,36185,18623,17559,3,106.06,NA,NA,4.97,10687,6.62
SINDH,089,TANDO ALLAHYAR DISTRICT,JHANDO MARI TALUKA,TOTAL,626,241170,124378,116760,32,106.52,385.26,7.46,4.95,141913,2.83
SINDH,089,TANDO ALLAHYAR DISTRICT,JHANDO MARI TALUKA,RURAL,NA,223171,115059,108080,32,106.46,NA,NA,4.96,141913,2.41
SINDH,089,TANDO ALLAHYAR DISTRICT,JHANDO MARI TALUKA,URBAN,NA,17999,9319,8680,NA,107.36,NA,NA,4.87,NA,NA
SINDH,089,TANDO ALLAHYAR DISTRICT,TANDO ALLAHYAR TALUKA,TOTAL,445,387155,200229,186857,69,107.16,870.01,55.25,5.11,226055,2.87
SINDH,089,TANDO ALLAHYAR DISTRICT,TANDO ALLAHYAR TALUKA,RURAL,NA,173240,89782,83435,23,107.61,NA,NA,5.12,130486,1.5
SINDH,089,TANDO ALLAHYAR DISTRICT,TANDO ALLAHYAR TALUKA,URBAN,NA,213915,110447,103422,46,106.79,NA,NA,5.11,95569,4.32
