province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,5-10 YEARS,99961,25.75,LATRINE,OPEN DRAIN,10077,2.6,2967
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,5-10 YEARS,99961,25.75,LATRINE,PIT WITH SLAB,26869,6.92,8933
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,5-10 YEARS,99961,25.75,LATRINE,OTHER,5673,1.46,1822
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,5-10 YEARS,99961,25.75,LATRINE,NONE,2492,0.64,801
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,11-50 YEARS,219483,56.54,KITCHEN,SEPARATE,272151,70.11,154213
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,11-50 YEARS,219483,56.54,KITCHEN,SHARED,111241,28.66,62936
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,11-50 YEARS,219483,56.54,KITCHEN,NONE,4784,1.23,2334
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,11-50 YEARS,219483,56.54,BATH,SEPARATE,274399,70.69,156330
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,11-50 YEARS,219483,56.54,BATH,SHARED,108961,28.07,61037
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,11-50 YEARS,219483,56.54,BATH,NONE,4816,1.24,2116
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,11-50 YEARS,219483,56.54,LATRINE,SEWER,330570,85.16,195799
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,11-50 YEARS,219483,56.54,LATRINE,SEPTIC TANK,12495,3.22,5189
SINDH,095,KARACHI WEST DISTRICT,KARACHI WEST DISTRICT,TOTAL,11-50 YEARS,219483,56.54,LATRINE,OPEN DRAIN,10077,2.6,4575
