adm_lvl_1,adm_lvl_2,adm_lvl_3,adm_lvl_4,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
BALOCHISTAN,NA,NA,NA,BALOCHISTAN,TOTAL,347190,12335129,6483736,5850613,780,110.82,35.53,0.2762,6.87,6565885,0.0337
BALOCHISTAN,NA,NA,NA,BALOCHISTAN,RURAL,NA,8928428,4685756,4242183,489,110.46,NA,NA,6.8,4997105,0.031
BALOCHISTAN,NA,NA,NA,BALOCHISTAN,URBAN,NA,3406701,1797980,1608430,291,111.78,NA,NA,7.06,1568780,0.0416
BALOCHISTAN,NA,AWARAN,NA,AWARAN DISTRICT,TOTAL,29510,121821,63063,58749,9,107.34,4.13,0.281,6.61,118173,0.0016
BALOCHISTAN,NA,AWARAN,NA,AWARAN DISTRICT,RURAL,NA,87584,45438,42138,8,107.83,NA,NA,6.25,118173,-0.015600000000000001
BALOCHISTAN,NA,AWARAN,NA,AWARAN DISTRICT,URBAN,NA,34237,17625,16611,1,106.1,NA,NA,7.81,NA,NA
BALOCHISTAN,NA,AWARAN,AWARAN TEHSIL,AWARAN TEHSIL,TOTAL,13075,30345,15320,15024,1,101.97,2.32,0.7171,7.06,27156,0.0059
BALOCHISTAN,NA,AWARAN,AWARAN TEHSIL,AWARAN TEHSIL,RURAL,NA,8584,4334,4250,NA,101.98,NA,NA,5.72,27156,-0.0587
BALOCHISTAN,NA,AWARAN,AWARAN TEHSIL,AWARAN TEHSIL,URBAN,NA,21761,10986,10774,1,101.97,NA,NA,7.81,NA,NA
BALOCHISTAN,NA,AWARAN,GISHKORE SUB-TEHSIL,GISHKORE SUB-TEHSIL,TOTAL,4578,18390,9683,8704,3,111.25,4.02,NA,5.07,22430,-0.0104
BALOCHISTAN,NA,AWARAN,GISHKORE SUB-TEHSIL,GISHKORE SUB-TEHSIL,RURAL,NA,18390,9683,8704,3,111.25,NA,NA,5.07,22430,-0.0104
BALOCHISTAN,NA,AWARAN,GISHKORE SUB-TEHSIL,GISHKORE SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,AWARAN,JHAL JAO SUB-TEHSIL,JHAL JAO SUB-TEHSIL,TOTAL,9439,40010,20949,19056,5,109.93,4.24,NA,6.81,34214,0.0083
BALOCHISTAN,NA,AWARAN,JHAL JAO SUB-TEHSIL,JHAL JAO SUB-TEHSIL,RURAL,NA,40010,20949,19056,5,109.93,NA,NA,6.81,34214,0.0083
BALOCHISTAN,NA,AWARAN,JHAL JAO SUB-TEHSIL,JHAL JAO SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,AWARAN,MASHKAI TEHSIL,MASHKAI TEHSIL,TOTAL,2418,33076,17111,15965,NA,107.18,13.68,0.3772,7.17,34373,-0.002
BALOCHISTAN,NA,AWARAN,MASHKAI TEHSIL,MASHKAI TEHSIL,RURAL,NA,20600,10472,10128,NA,103.4,NA,NA,6.84,34373,-0.0265
BALOCHISTAN,NA,AWARAN,MASHKAI TEHSIL,MASHKAI TEHSIL,URBAN,NA,12476,6639,5837,NA,113.74,NA,NA,7.82,NA,NA
BALOCHISTAN,NA,KALAT,NA,KALAT DISTRICT,TOTAL,8416,412058,211806,200251,1,105.77,48.96,0.1757,7.38,237834,0.029300000000000003
BALOCHISTAN,NA,KALAT,NA,KALAT DISTRICT,RURAL,NA,339665,175522,164142,1,106.93,NA,NA,7.39,204040,0.0271
BALOCHISTAN,NA,KALAT,NA,KALAT DISTRICT,URBAN,NA,72393,36284,36109,NA,100.48,NA,NA,7.3,33794,0.0408
BALOCHISTAN,NA,KALAT,GAZG SUB-TEHSIL,GAZG SUB-TEHSIL,TOTAL,1390,5721,3112,2609,NA,119.28,4.12,NA,6.02,3979,0.019299999999999998
BALOCHISTAN,NA,KALAT,GAZG SUB-TEHSIL,GAZG SUB-TEHSIL,RURAL,NA,5721,3112,2609,NA,119.28,NA,NA,6.02,3979,0.019299999999999998
BALOCHISTAN,NA,KALAT,GAZG SUB-TEHSIL,GAZG SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
BALOCHISTAN,NA,KALAT,JOHAN SUB-TEHSIL,JOHAN SUB-TEHSIL,TOTAL,1328,10708,5625,5083,NA,110.66,8.06,NA,6.8,12299,-0.0073
BALOCHISTAN,NA,KALAT,JOHAN SUB-TEHSIL,JOHAN SUB-TEHSIL,RURAL,NA,10708,5625,5083,NA,110.66,NA,NA,6.8,12299,-0.0073
BALOCHISTAN,NA,KALAT,JOHAN SUB-TEHSIL,JOHAN SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,KALAT,KALAT TEHSIL,KALAT TEHSIL,TOTAL,3788,129094,66465,62629,NA,106.12,34.08,0.285,6.72,86565,0.0212
BALOCHISTAN,NA,KALAT,KALAT TEHSIL,KALAT TEHSIL,RURAL,NA,92298,47816,44482,NA,107.5,NA,NA,6.85,63919,0.0195
BALOCHISTAN,NA,KALAT,KALAT TEHSIL,KALAT TEHSIL,URBAN,NA,36796,18649,18147,NA,102.77,NA,NA,6.4,22646,0.0258
BALOCHISTAN,NA,KALAT,MANGOCHAR TEHSIL,MANGOCHAR TEHSIL,TOTAL,1148,65678,34177,31500,1,108.5,57.21,NA,7.7,41590,0.024300000000000002
BALOCHISTAN,NA,KALAT,MANGOCHAR TEHSIL,MANGOCHAR TEHSIL,RURAL,NA,65678,34177,31500,1,108.5,NA,NA,7.7,41590,0.024300000000000002
BALOCHISTAN,NA,KALAT,MANGOCHAR TEHSIL,MANGOCHAR TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,NA,KALAT,SURAB TEHSIL,SURAB TEHSIL,TOTAL,762,200857,102427,98430,NA,104.06,263.59,0.1772,7.84,93401,0.040999999999999995
BALOCHISTAN,NA,KALAT,SURAB TEHSIL,SURAB TEHSIL,RURAL,NA,165260,84792,80468,NA,105.37,NA,NA,7.71,82253,0.0373
BALOCHISTAN,NA,KALAT,SURAB TEHSIL,SURAB TEHSIL,URBAN,NA,35597,17635,17962,NA,98.18,NA,NA,8.53,11148,0.0629
BALOCHISTAN,NA,KHARAN,NA,KHARAN DISTRICT,TOTAL,14958,162766,84631,78135,NA,108.31,10.88,0.3157,6.56,96900,0.0276
BALOCHISTAN,NA,KHARAN,NA,KHARAN DISTRICT,RURAL,NA,111378,57558,53820,NA,106.95,NA,NA,6.04,69094,0.0254
BALOCHISTAN,NA,KHARAN,NA,KHARAN DISTRICT,URBAN,NA,51388,27073,24315,NA,111.34,NA,NA,8.05,27806,0.032799999999999996
