province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up
BALOCHISTAN,126,KOHLU DISTRICT,NA,NA,NA,YES,KOHLU DISTRICT,17443,9001,8442,0,56.11,72.85,38.2,0,1684,1014,0,1567,633,0,605,204,0,17257,186,10579,7397,681,987,5789
BALOCHISTAN,126,KOHLU DISTRICT,KOHLU TEHSIL,NA,NA,YES,KOHLU TEHSIL,17443,9001,8442,0,56.11,72.85,38.2,0,1684,1014,0,1567,633,0,605,204,0,17257,186,10579,7397,681,987,5789
BALOCHISTAN,126,KOHLU DISTRICT,KOHLU TEHSIL,KOHLU MC,NA,YES,KOHLU MC,17443,9001,8442,0,56.11,72.85,38.2,0,1684,1014,0,1567,633,0,605,204,0,17257,186,10579,7397,681,987,5789
BALOCHISTAN,126,KOHLU DISTRICT,KOHLU TEHSIL,KOHLU MC,CHARGE NO 10,YES,CHARGE NO 10,17443,9001,8442,0,56.11,72.85,38.2,0,1684,1014,0,1567,633,0,605,204,0,17257,186,10579,7397,681,987,5789
BALOCHISTAN,126,KOHLU DISTRICT,KOHLU TEHSIL,KOHLU MC,CHARGE NO 10,NO,CIRCLE NO 01,4885,2511,2374,0,51.85,68.59,33.38,0,498,267,0,414,128,0,120,41,0,4784,101,2943,2022,182,259,1663
BALOCHISTAN,126,KOHLU DISTRICT,KOHLU TEHSIL,KOHLU MC,CHARGE NO 10,NO,CIRCLE NO 02,12558,6490,6068,0,57.75,74.52,40.02,0,1186,747,0,1153,505,0,485,163,0,12473,85,7636,5375,499,728,4126
