province_name,district_code,district_name,area_name,locality_size,locality_count,gender,total_population
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,LESS THAN 200,2,ALL SEXES,116
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,LESS THAN 200,2,MALE,54
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,LESS THAN 200,2,FEMALE,62
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,LESS THAN 200,2,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,UN-INHABITED,-,ALL SEXES,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,UN-INHABITED,-,MALE,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,UN-INHABITED,-,FEMALE,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,UN-INHABITED,-,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,43,ALL SEXES,432114
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,43,MALE,224005
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,43,FEMALE,208071
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,43,TRANSGENDER,38
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,"5,000 AND ABOVE",27,ALL SEXES,393724
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,"5,000 AND ABOVE",27,MALE,203932
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,"5,000 AND ABOVE",27,FEMALE,189758
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,"5,000 AND ABOVE",27,TRANSGENDER,34
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,"2,000 - 4,999",8,ALL SEXES,29735
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,"2,000 - 4,999",8,MALE,15588
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,"2,000 - 4,999",8,FEMALE,14144
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,"2,000 - 4,999",8,TRANSGENDER,3
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,"1,000 - 1,999",5,ALL SEXES,7164
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,"1,000 - 1,999",5,MALE,3725
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,"1,000 - 1,999",5,FEMALE,3438
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,"1,000 - 1,999",5,TRANSGENDER,1
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,500 - 999,2,ALL SEXES,1484
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,500 - 999,2,MALE,757
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,500 - 999,2,FEMALE,727
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,500 - 999,2,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,200 - 499,-,ALL SEXES,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,200 - 499,-,MALE,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,200 - 499,-,FEMALE,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,200 - 499,-,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,LESS THAN 200,1,ALL SEXES,7
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,LESS THAN 200,1,MALE,3
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,LESS THAN 200,1,FEMALE,4
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,LESS THAN 200,1,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,UN-INHABITED,-,ALL SEXES,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,UN-INHABITED,-,MALE,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,UN-INHABITED,-,FEMALE,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,UN-INHABITED,-,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,TOTAL,278,ALL SEXES,1238708
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,TOTAL,278,MALE,636150
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,TOTAL,278,FEMALE,602391
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,TOTAL,278,TRANSGENDER,167
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,"5,000 AND ABOVE",80,ALL SEXES,837201
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,"5,000 AND ABOVE",80,MALE,429428
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,"5,000 AND ABOVE",80,FEMALE,407650
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,"5,000 AND ABOVE",80,TRANSGENDER,123
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,"2,000 - 4,999",103,ALL SEXES,319960
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,"2,000 - 4,999",103,MALE,164809
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,"2,000 - 4,999",103,FEMALE,155109
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,"2,000 - 4,999",103,TRANSGENDER,42
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,"1,000 - 1,999",34,ALL SEXES,51941
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,"1,000 - 1,999",34,MALE,26683
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,"1,000 - 1,999",34,FEMALE,25256
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,"1,000 - 1,999",34,TRANSGENDER,2
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,500 - 999,29,ALL SEXES,20808
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,500 - 999,29,MALE,10725
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,500 - 999,29,FEMALE,10083
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,500 - 999,29,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,200 - 499,21,ALL SEXES,7572
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,200 - 499,21,MALE,3888
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,200 - 499,21,FEMALE,3684
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,200 - 499,21,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,LESS THAN 200,11,ALL SEXES,1226
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,LESS THAN 200,11,MALE,617
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,LESS THAN 200,11,FEMALE,609
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,LESS THAN 200,11,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,UN-INHABITED,-,ALL SEXES,0
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,UN-INHABITED,-,MALE,0
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,UN-INHABITED,-,FEMALE,0
PUNJAB,071,MULTAN DISTRICT,MULTAN SADDAR TEHSIL,UN-INHABITED,-,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,TOTAL,83,ALL SEXES,528906
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,TOTAL,83,MALE,268108
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,TOTAL,83,FEMALE,260741
PUNJAB,071,MULTAN DISTRICT,SHUJABAD TEHSIL,TOTAL,83,TRANSGENDER,57
