province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,religious_affiliation,count
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,ALL AGES,677,MUSLIM,670
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,97,MUSLIM,97
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,05-09,115,MUSLIM,114
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,10-14,57,MUSLIM,57
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,15-24,89,MUSLIM,89
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,25-34,121,MUSLIM,119
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,35-44,84,MUSLIM,84
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,45-54,40,MUSLIM,37
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,55-64,39,MUSLIM,38
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,65-74,29,MUSLIM,29
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,6,MUSLIM,6
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,ALL AGES,677,NON-MUSLIM,7
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,97,NON-MUSLIM,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,05-09,115,NON-MUSLIM,1
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,10-14,57,NON-MUSLIM,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,15-24,89,NON-MUSLIM,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,25-34,121,NON-MUSLIM,2
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,35-44,84,NON-MUSLIM,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,45-54,40,NON-MUSLIM,3
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,55-64,39,NON-MUSLIM,1
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,65-74,29,NON-MUSLIM,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,6,NON-MUSLIM,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,ALL AGES,389,MUSLIM,383
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,BELOW 5 YEARS,37,MUSLIM,37
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,05-09,70,MUSLIM,69
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,10-14,32,MUSLIM,32
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,15-24,55,MUSLIM,55
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,25-34,71,MUSLIM,70
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,35-44,51,MUSLIM,51
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,45-54,22,MUSLIM,19
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,55-64,24,MUSLIM,23
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,65-74,22,MUSLIM,22
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,75 AND ABOVE,5,MUSLIM,5
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,ALL AGES,389,NON-MUSLIM,6
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,BELOW 5 YEARS,37,NON-MUSLIM,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,05-09,70,NON-MUSLIM,1
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,10-14,32,NON-MUSLIM,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,15-24,55,NON-MUSLIM,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,25-34,71,NON-MUSLIM,1
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,35-44,51,NON-MUSLIM,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,45-54,22,NON-MUSLIM,3
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,55-64,24,NON-MUSLIM,1
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MALE,65-74,22,NON-MUSLIM,0
