province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,literacy_ratio,literacy_status,count
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,10 AND ABOVE,16857,20.37,ILLITERATE,13423
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,10 - 14,3651,28.16,ILLITERATE,2623
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,15 - 19,2705,23.81,ILLITERATE,2061
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,20 - 24,2059,20.4,ILLITERATE,1639
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,25 - 29,1925,19.95,ILLITERATE,1541
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,30 - 34,1346,21.84,ILLITERATE,1052
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,35 - 39,1128,19.41,ILLITERATE,909
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,40 - 44,966,16.15,ILLITERATE,810
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,45 - 49,726,14.05,ILLITERATE,624
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,50 - 54,692,10.26,ILLITERATE,621
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,55 - 59,540,8.15,ILLITERATE,496
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,60 - 64,459,6.75,ILLITERATE,428
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,65 - 69,244,7.38,ILLITERATE,226
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,70 - 74,181,6.08,ILLITERATE,170
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,75 AND ABOVE,235,5.11,ILLITERATE,223
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,10 AND ABOVE,16857,20.37,TOTAL LITERATE,3434
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,10 - 14,3651,28.16,TOTAL LITERATE,1028
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,15 - 19,2705,23.81,TOTAL LITERATE,644
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,20 - 24,2059,20.4,TOTAL LITERATE,420
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,25 - 29,1925,19.95,TOTAL LITERATE,384
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,30 - 34,1346,21.84,TOTAL LITERATE,294
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,35 - 39,1128,19.41,TOTAL LITERATE,219
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,40 - 44,966,16.15,TOTAL LITERATE,156
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,45 - 49,726,14.05,TOTAL LITERATE,102
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,50 - 54,692,10.26,TOTAL LITERATE,71
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,55 - 59,540,8.15,TOTAL LITERATE,44
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,60 - 64,459,6.75,TOTAL LITERATE,31
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,65 - 69,244,7.38,TOTAL LITERATE,18
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,70 - 74,181,6.08,TOTAL LITERATE,11
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,75 AND ABOVE,235,5.11,TOTAL LITERATE,12
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,10 AND ABOVE,16857,20.37,FORMAL LITERATE,3361
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,10 - 14,3651,28.16,FORMAL LITERATE,1015
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,15 - 19,2705,23.81,FORMAL LITERATE,631
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,20 - 24,2059,20.4,FORMAL LITERATE,410
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,25 - 29,1925,19.95,FORMAL LITERATE,375
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,30 - 34,1346,21.84,FORMAL LITERATE,289
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,35 - 39,1128,19.41,FORMAL LITERATE,215
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,40 - 44,966,16.15,FORMAL LITERATE,154
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,45 - 49,726,14.05,FORMAL LITERATE,100
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,50 - 54,692,10.26,FORMAL LITERATE,69
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,55 - 59,540,8.15,FORMAL LITERATE,40
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,60 - 64,459,6.75,FORMAL LITERATE,27
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,65 - 69,244,7.38,FORMAL LITERATE,18
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,70 - 74,181,6.08,FORMAL LITERATE,7
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,75 AND ABOVE,235,5.11,FORMAL LITERATE,11
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,10 AND ABOVE,16857,20.37,INFORMAL LITERATE,73
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,10 - 14,3651,28.16,INFORMAL LITERATE,13
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,15 - 19,2705,23.81,INFORMAL LITERATE,13
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,20 - 24,2059,20.4,INFORMAL LITERATE,10
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,25 - 29,1925,19.95,INFORMAL LITERATE,9
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,30 - 34,1346,21.84,INFORMAL LITERATE,5
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,35 - 39,1128,19.41,INFORMAL LITERATE,4
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,40 - 44,966,16.15,INFORMAL LITERATE,2
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,45 - 49,726,14.05,INFORMAL LITERATE,2
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,50 - 54,692,10.26,INFORMAL LITERATE,2
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,55 - 59,540,8.15,INFORMAL LITERATE,4
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,60 - 64,459,6.75,INFORMAL LITERATE,4
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,65 - 69,244,7.38,INFORMAL LITERATE,0
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,ALL SEXES,70 - 74,181,6.08,INFORMAL LITERATE,4
