province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,UNDER CONSTRUCTION,1,37,1.14,164,5.06,3
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,LESS THAN 5 YEARS,1,196,6.05,164,5.06,40
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,5-10 YEARS,1,878,27.1,164,5.06,43
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,11-50 YEARS,1,1906,58.83,164,5.06,76
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,OVER 50 YEARS,1,223,6.88,164,5.06,2
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,UNDER CONSTRUCTION,2,37,1.14,640,19.75,5
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,LESS THAN 5 YEARS,2,196,6.05,640,19.75,54
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,5-10 YEARS,2,878,27.1,640,19.75,194
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,11-50 YEARS,2,1906,58.83,640,19.75,348
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,OVER 50 YEARS,2,223,6.88,640,19.75,39
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,UNDER CONSTRUCTION,3,37,1.14,909,28.06,6
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,LESS THAN 5 YEARS,3,196,6.05,909,28.06,49
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,5-10 YEARS,3,878,27.1,909,28.06,284
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,11-50 YEARS,3,1906,58.83,909,28.06,475
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,OVER 50 YEARS,3,223,6.88,909,28.06,95
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,UNDER CONSTRUCTION,4,37,1.14,647,19.97,13
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,LESS THAN 5 YEARS,4,196,6.05,647,19.97,24
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,5-10 YEARS,4,878,27.1,647,19.97,166
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,11-50 YEARS,4,1906,58.83,647,19.97,404
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,OVER 50 YEARS,4,223,6.88,647,19.97,40
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,UNDER CONSTRUCTION,5,37,1.14,365,11.27,0
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,LESS THAN 5 YEARS,5,196,6.05,365,11.27,10
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,5-10 YEARS,5,878,27.1,365,11.27,78
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,11-50 YEARS,5,1906,58.83,365,11.27,260
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,OVER 50 YEARS,5,223,6.88,365,11.27,17
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,UNDER CONSTRUCTION,6,37,1.14,219,6.76,5
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,LESS THAN 5 YEARS,6,196,6.05,219,6.76,12
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,5-10 YEARS,6,878,27.1,219,6.76,51
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,11-50 YEARS,6,1906,58.83,219,6.76,143
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,OVER 50 YEARS,6,223,6.88,219,6.76,8
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,UNDER CONSTRUCTION,7,37,1.14,109,3.36,1
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,LESS THAN 5 YEARS,7,196,6.05,109,3.36,0
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,5-10 YEARS,7,878,27.1,109,3.36,22
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,11-50 YEARS,7,1906,58.83,109,3.36,76
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,OVER 50 YEARS,7,223,6.88,109,3.36,10
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,UNDER CONSTRUCTION,8,37,1.14,86,2.65,2
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,LESS THAN 5 YEARS,8,196,6.05,86,2.65,2
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,5-10 YEARS,8,878,27.1,86,2.65,12
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,11-50 YEARS,8,1906,58.83,86,2.65,62
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,OVER 50 YEARS,8,223,6.88,86,2.65,8
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,UNDER CONSTRUCTION,9 AND MORE,37,1.14,101,3.12,2
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,LESS THAN 5 YEARS,9 AND MORE,196,6.05,101,3.12,5
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,5-10 YEARS,9 AND MORE,878,27.1,101,3.12,28
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,11-50 YEARS,9 AND MORE,1906,58.83,101,3.12,62
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,TOTAL,OVER 50 YEARS,9 AND MORE,223,6.88,101,3.12,4
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,UNDER CONSTRUCTION,1,37,1.14,164,5.06,3
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,LESS THAN 5 YEARS,1,196,6.05,164,5.06,40
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,5-10 YEARS,1,878,27.1,164,5.06,43
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,11-50 YEARS,1,1906,58.83,164,5.06,76
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,OVER 50 YEARS,1,223,6.88,164,5.06,2
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,UNDER CONSTRUCTION,2,37,1.14,640,19.75,5
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,LESS THAN 5 YEARS,2,196,6.05,640,19.75,54
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,5-10 YEARS,2,878,27.1,640,19.75,194
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,11-50 YEARS,2,1906,58.83,640,19.75,348
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,OVER 50 YEARS,2,223,6.88,640,19.75,39
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,UNDER CONSTRUCTION,3,37,1.14,909,28.06,6
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,LESS THAN 5 YEARS,3,196,6.05,909,28.06,49
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,5-10 YEARS,3,878,27.1,909,28.06,284
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,11-50 YEARS,3,1906,58.83,909,28.06,475
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,OVER 50 YEARS,3,223,6.88,909,28.06,95
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,UNDER CONSTRUCTION,4,37,1.14,647,19.97,13
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,LESS THAN 5 YEARS,4,196,6.05,647,19.97,24
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,5-10 YEARS,4,878,27.1,647,19.97,166
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,11-50 YEARS,4,1906,58.83,647,19.97,404
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,OVER 50 YEARS,4,223,6.88,647,19.97,40
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,UNDER CONSTRUCTION,5,37,1.14,365,11.27,0
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,LESS THAN 5 YEARS,5,196,6.05,365,11.27,10
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,5-10 YEARS,5,878,27.1,365,11.27,78
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,11-50 YEARS,5,1906,58.83,365,11.27,260
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,OVER 50 YEARS,5,223,6.88,365,11.27,17
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,UNDER CONSTRUCTION,6,37,1.14,219,6.76,5
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,LESS THAN 5 YEARS,6,196,6.05,219,6.76,12
FATA,036,FR LAKKI MARWAT,FR LAKKI MARWAT,RURAL,5-10 YEARS,6,878,27.1,219,6.76,51
