province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,OWNED,1,224167,87.22,159218,61.95,142735
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENTED,1,22634,8.81,159218,61.95,9140
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENT FREE,1,10213,3.97,159218,61.95,7343
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,OWNED,2,224167,87.22,62649,24.38,51624
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENTED,2,22634,8.81,62649,24.38,9172
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENT FREE,2,10213,3.97,62649,24.38,1853
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,OWNED,3,224167,87.22,20418,7.94,16947
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENTED,3,22634,8.81,20418,7.94,2933
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENT FREE,3,10213,3.97,20418,7.94,538
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,OWNED,4,224167,87.22,8249,3.21,7206
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENTED,4,22634,8.81,8249,3.21,827
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENT FREE,4,10213,3.97,8249,3.21,216
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,OWNED,5,224167,87.22,2604,1.01,2246
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENTED,5,22634,8.81,2604,1.01,267
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENT FREE,5,10213,3.97,2604,1.01,91
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,OWNED,6,224167,87.22,1340,0.52,1169
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENTED,6,22634,8.81,1340,0.52,122
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENT FREE,6,10213,3.97,1340,0.52,49
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,OWNED,7,224167,87.22,1555,0.61,1389
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENTED,7,22634,8.81,1555,0.61,107
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENT FREE,7,10213,3.97,1555,0.61,59
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,OWNED,8,224167,87.22,382,0.15,333
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENTED,8,22634,8.81,382,0.15,25
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENT FREE,8,10213,3.97,382,0.15,24
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,OWNED,9,224167,87.22,599,0.23,518
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENTED,9,22634,8.81,599,0.23,41
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,TOTAL,RENT FREE,9,10213,3.97,599,0.23,40
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,OWNED,1,125730,94.62,100010,75.26,94536
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENTED,1,1372,1.03,100010,75.26,736
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENT FREE,1,5777,4.35,100010,75.26,4738
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,OWNED,2,125730,94.62,23181,17.45,21948
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENTED,2,1372,1.03,23181,17.45,490
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENT FREE,2,5777,4.35,23181,17.45,743
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,OWNED,3,125730,94.62,5383,4.05,5135
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENTED,3,1372,1.03,5383,4.05,81
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENT FREE,3,5777,4.35,5383,4.05,167
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,OWNED,4,125730,94.62,2272,1.71,2179
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENTED,4,1372,1.03,2272,1.71,36
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENT FREE,4,5777,4.35,2272,1.71,57
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,OWNED,5,125730,94.62,714,0.54,684
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENTED,5,1372,1.03,714,0.54,10
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENT FREE,5,5777,4.35,714,0.54,20
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,OWNED,6,125730,94.62,247,0.19,234
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENTED,6,1372,1.03,247,0.19,4
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENT FREE,6,5777,4.35,247,0.19,9
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,OWNED,7,125730,94.62,796,0.6,759
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENTED,7,1372,1.03,796,0.6,8
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENT FREE,7,5777,4.35,796,0.6,29
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,OWNED,8,125730,94.62,79,0.06,74
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENTED,8,1372,1.03,79,0.06,0
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENT FREE,8,5777,4.35,79,0.06,5
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,OWNED,9,125730,94.62,197,0.15,181
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENTED,9,1372,1.03,197,0.15,7
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,RURAL,RENT FREE,9,5777,4.35,197,0.15,9
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,URBAN,OWNED,1,98437,79.3,59208,47.7,48199
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,URBAN,RENTED,1,21262,17.13,59208,47.7,8404
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,URBAN,RENT FREE,1,4436,3.57,59208,47.7,2605
SINDH,082,SUKKUR DISTRICT,SUKKUR DISTRICT,URBAN,OWNED,2,98437,79.3,39468,31.79,29676
