province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,ALL SEXES,4267198,114901,640771,1276184,1916624,2063270,889266,1240197,2049947,2335894,1979872,2154252,191973,116529
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,MALE,2198005,59212,329088,659340,994706,1068093,455544,627900,1037739,1192310,1005243,1101722,105952,64058
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,FEMALE,2068568,55689,311683,616844,921901,994963,433508,611971,1011679,1142993,974101,1051958,85963,52437
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,TRANSGENDER,625,0,0,0,17,214,214,326,529,591,528,572,58,34
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,ALL SEXES,2297375,65595,367914,733615,1093587,1133486,464099,646502,1055779,1199117,1009063,1099109,99231,60957
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,MALE,1172995,33834,188864,379367,568531,583543,233301,320469,524170,600449,501343,550849,54356,33440
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,FEMALE,1124167,31761,179050,354248,525049,549886,230741,325943,531443,598466,507543,548067,44848,27506
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,TRANSGENDER,213,0,0,0,7,57,57,90,166,202,177,193,27,11
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,ALL SEXES,1969823,49306,272857,542569,823037,929784,425167,593695,994168,1136777,970809,1055143,92742,55572
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,MALE,1025010,25378,140224,279973,426175,484550,222243,307431,513569,591861,503900,550873,51596,30618
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,FEMALE,944401,23928,132633,262596,396852,445077,202767,286028,480236,544527,466558,503891,41115,24931
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,URBAN,TRANSGENDER,412,0,0,0,10,157,157,236,363,389,351,379,31,23
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,TOTAL,ALL SEXES,4267198,114901,640771,1276184,1916624,2063270,889266,1240197,2049947,2335894,1979872,2154252,191973,116529
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,TOTAL,MALE,2198005,59212,329088,659340,994706,1068093,455544,627900,1037739,1192310,1005243,1101722,105952,64058
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,TOTAL,FEMALE,2068568,55689,311683,616844,921901,994963,433508,611971,1011679,1142993,974101,1051958,85963,52437
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,TOTAL,TRANSGENDER,625,0,0,0,17,214,214,326,529,591,528,572,58,34
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,RURAL,ALL SEXES,2297375,65595,367914,733615,1093587,1133486,464099,646502,1055779,1199117,1009063,1099109,99231,60957
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,RURAL,MALE,1172995,33834,188864,379367,568531,583543,233301,320469,524170,600449,501343,550849,54356,33440
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,RURAL,FEMALE,1124167,31761,179050,354248,525049,549886,230741,325943,531443,598466,507543,548067,44848,27506
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,RURAL,TRANSGENDER,213,0,0,0,7,57,57,90,166,202,177,193,27,11
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,URBAN,ALL SEXES,1969823,49306,272857,542569,823037,929784,425167,593695,994168,1136777,970809,1055143,92742,55572
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,URBAN,MALE,1025010,25378,140224,279973,426175,484550,222243,307431,513569,591861,503900,550873,51596,30618
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,URBAN,FEMALE,944401,23928,132633,262596,396852,445077,202767,286028,480236,544527,466558,503891,41115,24931
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,URBAN,TRANSGENDER,412,0,0,0,10,157,157,236,363,389,351,379,31,23
