province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,5-10 YEARS,7,86000,26.26,10849,3.31,2646
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,11-50 YEARS,7,180668,55.16,10849,3.31,6354
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,OVER 50 YEARS,7,14795,4.52,10849,3.31,402
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,UNDER CONSTRUCTION,8,6348,1.94,7311,2.23,134
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,LESS THAN 5 YEARS,8,39722,12.13,7311,2.23,861
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,5-10 YEARS,8,86000,26.26,7311,2.23,1685
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,11-50 YEARS,8,180668,55.16,7311,2.23,4351
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,OVER 50 YEARS,8,14795,4.52,7311,2.23,280
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,UNDER CONSTRUCTION,9 AND MORE,6348,1.94,10553,3.22,222
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,LESS THAN 5 YEARS,9 AND MORE,39722,12.13,10553,3.22,1308
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,5-10 YEARS,9 AND MORE,86000,26.26,10553,3.22,2340
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,11-50 YEARS,9 AND MORE,180668,55.16,10553,3.22,6248
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,OVER 50 YEARS,9 AND MORE,14795,4.52,10553,3.22,435
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,UNDER CONSTRUCTION,1,3367,1.7,39545,19.96,709
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,LESS THAN 5 YEARS,1,26172,13.21,39545,19.96,4439
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,5-10 YEARS,1,56437,28.48,39545,19.96,10426
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,11-50 YEARS,1,103109,52.03,39545,19.96,22010
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,RURAL,OVER 50 YEARS,1,9072,4.58,39545,19.96,1961
