province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,URBAN,MALE,225939,52.23,TOTAL,77823,100,225939
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,URBAN,FEMALE,206589,47.75,REGULAR,76087,97.77,201596
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,URBAN,FEMALE,206589,47.75,INSTITUTIONAL,1683,2.16,4954
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,URBAN,FEMALE,206589,47.75,HOMELESS,53,0.07,39
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,URBAN,FEMALE,206589,47.75,TOTAL,77823,100,206589
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,URBAN,TRANSGENDER,93,0.02,REGULAR,76087,97.77,87
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,URBAN,TRANSGENDER,93,0.02,INSTITUTIONAL,1683,2.16,6
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,URBAN,TRANSGENDER,93,0.02,HOMELESS,53,0.07,0
SINDH,086,JAMSHORO DISTRICT,JAMSHORO DISTRICT,URBAN,TRANSGENDER,93,0.02,TOTAL,77823,100,93
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,ALL SEXES,438063,100,REGULAR,73957,98.08,418855
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,ALL SEXES,438063,100,INSTITUTIONAL,1397,1.85,19100
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,ALL SEXES,438063,100,HOMELESS,49,0.06,108
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,ALL SEXES,438063,100,TOTAL,75403,100,438063
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,MALE,231542,52.86,REGULAR,73957,98.08,218473
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,MALE,231542,52.86,INSTITUTIONAL,1397,1.85,12992
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,MALE,231542,52.86,HOMELESS,49,0.06,77
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,MALE,231542,52.86,TOTAL,75403,100,231542
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,FEMALE,206443,47.13,REGULAR,73957,98.08,200310
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,FEMALE,206443,47.13,INSTITUTIONAL,1397,1.85,6104
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,FEMALE,206443,47.13,HOMELESS,49,0.06,29
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,FEMALE,206443,47.13,TOTAL,75403,100,206443
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,TRANSGENDER,78,0.02,REGULAR,73957,98.08,72
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,TRANSGENDER,78,0.02,INSTITUTIONAL,1397,1.85,4
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,TRANSGENDER,78,0.02,HOMELESS,49,0.06,2
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,TOTAL,TRANSGENDER,78,0.02,TOTAL,75403,100,78
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,ALL SEXES,145932,100,REGULAR,24498,98.65,134168
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,ALL SEXES,145932,100,INSTITUTIONAL,322,1.3,11731
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,ALL SEXES,145932,100,HOMELESS,14,0.06,33
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,ALL SEXES,145932,100,TOTAL,24834,100,145932
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,MALE,78348,53.69,REGULAR,24498,98.65,69296
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,MALE,78348,53.69,INSTITUTIONAL,322,1.3,9023
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,MALE,78348,53.69,HOMELESS,14,0.06,29
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,MALE,78348,53.69,TOTAL,24834,100,78348
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,FEMALE,67565,46.3,REGULAR,24498,98.65,64855
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,FEMALE,67565,46.3,INSTITUTIONAL,322,1.3,2708
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,FEMALE,67565,46.3,HOMELESS,14,0.06,2
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,FEMALE,67565,46.3,TOTAL,24834,100,67565
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,TRANSGENDER,19,0.01,REGULAR,24498,98.65,17
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,TRANSGENDER,19,0.01,INSTITUTIONAL,322,1.3,0
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,TRANSGENDER,19,0.01,HOMELESS,14,0.06,2
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,RURAL,TRANSGENDER,19,0.01,TOTAL,24834,100,19
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,ALL SEXES,292131,100,REGULAR,49459,97.8,284687
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,ALL SEXES,292131,100,INSTITUTIONAL,1075,2.13,7369
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,ALL SEXES,292131,100,HOMELESS,35,0.07,75
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,ALL SEXES,292131,100,TOTAL,50569,100,292131
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,MALE,153194,52.44,REGULAR,49459,97.8,149177
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,MALE,153194,52.44,INSTITUTIONAL,1075,2.13,3969
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,MALE,153194,52.44,HOMELESS,35,0.07,48
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,MALE,153194,52.44,TOTAL,50569,100,153194
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,URBAN,FEMALE,138878,47.54,REGULAR,49459,97.8,135455
