province_name,district_code,district_name,area_name,locality_name,locality_bucket,pop_98,avg_annual_growth_98_17,avg_hh_size,gender,total_population
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,BOLHARI MC,"100,000 - 199,999",NA,NA,5.92,ALL SEXES,158239
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,BOLHARI MC,"100,000 - 199,999",NA,NA,5.92,MALE,83661
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,BOLHARI MC,"100,000 - 199,999",NA,NA,5.92,FEMALE,74553
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,BOLHARI MC,"100,000 - 199,999",NA,NA,5.92,TRANSGENDER,25
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,KOTRI MC,"100,000 - 199,999",62085,2.6,5.35,ALL SEXES,101124
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,KOTRI MC,"100,000 - 199,999",62085,2.6,5.35,MALE,52544
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,KOTRI MC,"100,000 - 199,999",62085,2.6,5.35,FEMALE,48553
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,KOTRI MC,"100,000 - 199,999",62085,2.6,5.35,TRANSGENDER,27
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,SEHWAN TC,"50,000 - 99,999",34923,3.47,5.22,ALL SEXES,66898
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,SEHWAN TC,"50,000 - 99,999",34923,3.47,5.22,MALE,34744
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,SEHWAN TC,"50,000 - 99,999",34923,3.47,5.22,FEMALE,32137
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,SEHWAN TC,"50,000 - 99,999",34923,3.47,5.22,TRANSGENDER,17
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,BHAN TC,"25,000 - 49,999",14241,5.21,4.81,ALL SEXES,37452
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,BHAN TC,"25,000 - 49,999",14241,5.21,4.81,MALE,19372
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,BHAN TC,"25,000 - 49,999",14241,5.21,4.81,FEMALE,18070
SINDH,086,JAMSHORO DISTRICT,SEHWAN TALUKA,BHAN TC,"25,000 - 49,999",14241,5.21,4.81,TRANSGENDER,10
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,JAMSHORO TC,"25,000 - 49,999",NA,NA,6.38,ALL SEXES,32768
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,JAMSHORO TC,"25,000 - 49,999",NA,NA,6.38,MALE,16989
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,JAMSHORO TC,"25,000 - 49,999",NA,NA,6.38,FEMALE,15772
SINDH,086,JAMSHORO DISTRICT,KOTRI TALUKA,JAMSHORO TC,"25,000 - 49,999",NA,NA,6.38,TRANSGENDER,7
SINDH,086,JAMSHORO DISTRICT,THANO BULA KHAN TALUKA,THANO BULA KHAN TC,"10,000 - 24,999",12700,0.86,5.85,ALL SEXES,14944
SINDH,086,JAMSHORO DISTRICT,THANO BULA KHAN TALUKA,THANO BULA KHAN TC,"10,000 - 24,999",12700,0.86,5.85,MALE,7747
SINDH,086,JAMSHORO DISTRICT,THANO BULA KHAN TALUKA,THANO BULA KHAN TC,"10,000 - 24,999",12700,0.86,5.85,FEMALE,7190
SINDH,086,JAMSHORO DISTRICT,THANO BULA KHAN TALUKA,THANO BULA KHAN TC,"10,000 - 24,999",12700,0.86,5.85,TRANSGENDER,7
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,SANN TC,"10,000 - 24,999",7679,2.69,5.17,ALL SEXES,12730
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,SANN TC,"10,000 - 24,999",7679,2.69,5.17,MALE,6536
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,SANN TC,"10,000 - 24,999",7679,2.69,5.17,FEMALE,6194
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,SANN TC,"10,000 - 24,999",7679,2.69,5.17,TRANSGENDER,0
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,MANJHAND TC,"5,000 - 9,999",NA,NA,4.93,ALL SEXES,8466
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,MANJHAND TC,"5,000 - 9,999",NA,NA,4.93,MALE,4346
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,MANJHAND TC,"5,000 - 9,999",NA,NA,4.93,FEMALE,4120
SINDH,086,JAMSHORO DISTRICT,MANJHAND TALUKA,MANJHAND TC,"5,000 - 9,999",NA,NA,4.93,TRANSGENDER,0
