province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,OWNED,181686,91.08,WALL,WOOD/BAMBOO,1148,0.58,851
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,OWNED,181686,91.08,WALL,OTHERS,2082,1.04,1582
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,OWNED,181686,91.08,ROOF,RCC/RBC,33955,17.02,31526
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,OWNED,181686,91.08,ROOF,CEMENT/IRON SHEETS,20173,10.11,17188
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,OWNED,181686,91.08,ROOF,GARDER/T.IRON,81655,40.93,77140
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,OWNED,181686,91.08,ROOF,WOOD/BAMBOO,60695,30.43,53417
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,OWNED,181686,91.08,ROOF,OTHERS,3012,1.51,2415
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,RENTED,4797,2.4,WALL,BAKED BRICKS/BLOCKS/STONES,191304,95.9,3686
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,RENTED,4797,2.4,WALL,UNBAKED BRICKS/MUD,4956,2.48,963
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,RENTED,4797,2.4,WALL,WOOD/BAMBOO,1148,0.58,83
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,RENTED,4797,2.4,WALL,OTHERS,2082,1.04,65
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,RENTED,4797,2.4,ROOF,RCC/RBC,33955,17.02,1001
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,RENTED,4797,2.4,ROOF,CEMENT/IRON SHEETS,20173,10.11,593
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,RENTED,4797,2.4,ROOF,GARDER/T.IRON,81655,40.93,1159
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,RENTED,4797,2.4,ROOF,WOOD/BAMBOO,60695,30.43,1958
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,RENTED,4797,2.4,ROOF,OTHERS,3012,1.51,86
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,RENT FREE,13007,6.52,WALL,BAKED BRICKS/BLOCKS/STONES,191304,95.9,11692
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,RURAL,RENT FREE,13007,6.52,WALL,UNBAKED BRICKS/MUD,4956,2.48,666
