province_name,district_code,district_name,area_name,locality_name,locality_bucket,pop_98,avg_annual_growth_98_17,avg_hh_size,gender,total_population
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI TEHSIL,RAWALPINIDI MUNICIPAL CORPORAT,"500,000 AND ABOVE",781927,2.01,6.18,ALL SEXES,1142634
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI TEHSIL,RAWALPINIDI MUNICIPAL CORPORAT,"500,000 AND ABOVE",781927,2.01,6.18,MALE,590591
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI TEHSIL,RAWALPINIDI MUNICIPAL CORPORAT,"500,000 AND ABOVE",781927,2.01,6.18,FEMALE,551655
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI TEHSIL,RAWALPINIDI MUNICIPAL CORPORAT,"500,000 AND ABOVE",781927,2.01,6.18,TRANSGENDER,388
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI TEHSIL,RAWALPINDI CANTONMENT,"500,000 AND ABOVE",415750,2.51,6.07,ALL SEXES,666044
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI TEHSIL,RAWALPINDI CANTONMENT,"500,000 AND ABOVE",415750,2.51,6.07,MALE,341078
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI TEHSIL,RAWALPINDI CANTONMENT,"500,000 AND ABOVE",415750,2.51,6.07,FEMALE,324787
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI TEHSIL,RAWALPINDI CANTONMENT,"500,000 AND ABOVE",415750,2.51,6.07,TRANSGENDER,179
PUNJAB,042,RAWALPINDI DISTRICT,TAXILA TEHSIL,WAH CANTONMENT,"200,000 - 499,999",198891,3.45,5.85,ALL SEXES,379534
PUNJAB,042,RAWALPINDI DISTRICT,TAXILA TEHSIL,WAH CANTONMENT,"200,000 - 499,999",198891,3.45,5.85,MALE,193529
PUNJAB,042,RAWALPINDI DISTRICT,TAXILA TEHSIL,WAH CANTONMENT,"200,000 - 499,999",198891,3.45,5.85,FEMALE,185930
PUNJAB,042,RAWALPINDI DISTRICT,TAXILA TEHSIL,WAH CANTONMENT,"200,000 - 499,999",198891,3.45,5.85,TRANSGENDER,75
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI TEHSIL,CHAKLALA CANTONMENT,"200,000 - 499,999",212091,1.64,5.71,ALL SEXES,289146
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI TEHSIL,CHAKLALA CANTONMENT,"200,000 - 499,999",212091,1.64,5.71,MALE,150246
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI TEHSIL,CHAKLALA CANTONMENT,"200,000 - 499,999",212091,1.64,5.71,FEMALE,138759
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI TEHSIL,CHAKLALA CANTONMENT,"200,000 - 499,999",212091,1.64,5.71,TRANSGENDER,141
PUNJAB,042,RAWALPINDI DISTRICT,MURREE TEHSIL,MURREE MUNICIPAL CORPORATION,"100,000 - 199,999",13975,13.21,5.64,ALL SEXES,148304
PUNJAB,042,RAWALPINDI DISTRICT,MURREE TEHSIL,MURREE MUNICIPAL CORPORATION,"100,000 - 199,999",13975,13.21,5.64,MALE,75731
PUNJAB,042,RAWALPINDI DISTRICT,MURREE TEHSIL,MURREE MUNICIPAL CORPORATION,"100,000 - 199,999",13975,13.21,5.64,FEMALE,72554
PUNJAB,042,RAWALPINDI DISTRICT,MURREE TEHSIL,MURREE MUNICIPAL CORPORATION,"100,000 - 199,999",13975,13.21,5.64,TRANSGENDER,19
PUNJAB,042,RAWALPINDI DISTRICT,GUJAR KHAN TEHSIL,GUJAR KHAN MC,"50,000 - 99,999",57099,2.43,6.26,ALL SEXES,90149
PUNJAB,042,RAWALPINDI DISTRICT,GUJAR KHAN TEHSIL,GUJAR KHAN MC,"50,000 - 99,999",57099,2.43,6.26,MALE,44760
PUNJAB,042,RAWALPINDI DISTRICT,GUJAR KHAN TEHSIL,GUJAR KHAN MC,"50,000 - 99,999",57099,2.43,6.26,FEMALE,45355
PUNJAB,042,RAWALPINDI DISTRICT,GUJAR KHAN TEHSIL,GUJAR KHAN MC,"50,000 - 99,999",57099,2.43,6.26,TRANSGENDER,34
PUNJAB,042,RAWALPINDI DISTRICT,TAXILA TEHSIL,TAXILA MC,"50,000 - 99,999",48904,1.69,6.36,ALL SEXES,67246
PUNJAB,042,RAWALPINDI DISTRICT,TAXILA TEHSIL,TAXILA MC,"50,000 - 99,999",48904,1.69,6.36,MALE,34081
PUNJAB,042,RAWALPINDI DISTRICT,TAXILA TEHSIL,TAXILA MC,"50,000 - 99,999",48904,1.69,6.36,FEMALE,33156
PUNJAB,042,RAWALPINDI DISTRICT,TAXILA TEHSIL,TAXILA MC,"50,000 - 99,999",48904,1.69,6.36,TRANSGENDER,9
PUNJAB,042,RAWALPINDI DISTRICT,KAHUTA TEHSIL,KAHUTA MC,"50,000 - 99,999",19207,6.22,5.79,ALL SEXES,60610
PUNJAB,042,RAWALPINDI DISTRICT,KAHUTA TEHSIL,KAHUTA MC,"50,000 - 99,999",19207,6.22,5.79,MALE,30350
PUNJAB,042,RAWALPINDI DISTRICT,KAHUTA TEHSIL,KAHUTA MC,"50,000 - 99,999",19207,6.22,5.79,FEMALE,30258
PUNJAB,042,RAWALPINDI DISTRICT,KAHUTA TEHSIL,KAHUTA MC,"50,000 - 99,999",19207,6.22,5.79,TRANSGENDER,2
PUNJAB,042,RAWALPINDI DISTRICT,TAXILA TEHSIL,TAXILA CANTONMENT,"50,000 - 99,999",22978,4.67,6.03,ALL SEXES,54767
PUNJAB,042,RAWALPINDI DISTRICT,TAXILA TEHSIL,TAXILA CANTONMENT,"50,000 - 99,999",22978,4.67,6.03,MALE,28795
PUNJAB,042,RAWALPINDI DISTRICT,TAXILA TEHSIL,TAXILA CANTONMENT,"50,000 - 99,999",22978,4.67,6.03,FEMALE,25971
PUNJAB,042,RAWALPINDI DISTRICT,TAXILA TEHSIL,TAXILA CANTONMENT,"50,000 - 99,999",22978,4.67,6.03,TRANSGENDER,1
PUNJAB,042,RAWALPINDI DISTRICT,KALLAR SAYADDAN TEHSIL,KALLAR SYEDAN MC,"50,000 - 99,999",NA,NA,6.17,ALL SEXES,54239
PUNJAB,042,RAWALPINDI DISTRICT,KALLAR SAYADDAN TEHSIL,KALLAR SYEDAN MC,"50,000 - 99,999",NA,NA,6.17,MALE,25965
PUNJAB,042,RAWALPINDI DISTRICT,KALLAR SAYADDAN TEHSIL,KALLAR SYEDAN MC,"50,000 - 99,999",NA,NA,6.17,FEMALE,28266
PUNJAB,042,RAWALPINDI DISTRICT,KALLAR SAYADDAN TEHSIL,KALLAR SYEDAN MC,"50,000 - 99,999",NA,NA,6.17,TRANSGENDER,8
PUNJAB,042,RAWALPINDI DISTRICT,KOTLI SATTIAN TEHSIL,KOTLI SATTIAN MC,"10,000 - 24,999",NA,NA,4.75,ALL SEXES,22401
PUNJAB,042,RAWALPINDI DISTRICT,KOTLI SATTIAN TEHSIL,KOTLI SATTIAN MC,"10,000 - 24,999",NA,NA,4.75,MALE,11324
PUNJAB,042,RAWALPINDI DISTRICT,KOTLI SATTIAN TEHSIL,KOTLI SATTIAN MC,"10,000 - 24,999",NA,NA,4.75,FEMALE,11073
PUNJAB,042,RAWALPINDI DISTRICT,KOTLI SATTIAN TEHSIL,KOTLI SATTIAN MC,"10,000 - 24,999",NA,NA,4.75,TRANSGENDER,4
PUNJAB,042,RAWALPINDI DISTRICT,GUJAR KHAN TEHSIL,DAULTALA MC,"10,000 - 24,999",10051,4.18,6.38,ALL SEXES,21895
PUNJAB,042,RAWALPINDI DISTRICT,GUJAR KHAN TEHSIL,DAULTALA MC,"10,000 - 24,999",10051,4.18,6.38,MALE,10823
PUNJAB,042,RAWALPINDI DISTRICT,GUJAR KHAN TEHSIL,DAULTALA MC,"10,000 - 24,999",10051,4.18,6.38,FEMALE,11070
