province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,facility,source,total_by_facility,percent_by_facility,count
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENT FREE,10469,3.95,LATRINE,NONE,37439,14.13,3663
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,KITCHEN,SEPARATE,171557,79.16,161376
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,KITCHEN,SHARED,19869,9.17,18628
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,KITCHEN,NONE,25302,11.67,21231
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,BATH,SEPARATE,158683,73.22,148977
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,BATH,SHARED,32711,15.09,30634
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,BATH,NONE,25334,11.69,21624
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,LATRINE,SEWER,16235,7.49,14784
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,LATRINE,SEPTIC TANK,69172,31.92,65053
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,LATRINE,OPEN DRAIN,11459,5.29,10653
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,LATRINE,PIT WITH SLAB,81579,37.64,77108
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,LATRINE,OTHER,2864,1.32,2590
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,LATRINE,NONE,35419,16.34,31047
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENTED,7118,3.28,KITCHEN,SEPARATE,171557,79.16,5435
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENTED,7118,3.28,KITCHEN,SHARED,19869,9.17,541
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENTED,7118,3.28,KITCHEN,NONE,25302,11.67,1142
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENTED,7118,3.28,BATH,SEPARATE,158683,73.22,5225
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENTED,7118,3.28,BATH,SHARED,32711,15.09,958
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENTED,7118,3.28,BATH,NONE,25334,11.69,935
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENTED,7118,3.28,LATRINE,SEWER,16235,7.49,961
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENTED,7118,3.28,LATRINE,SEPTIC TANK,69172,31.92,2319
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENTED,7118,3.28,LATRINE,OPEN DRAIN,11459,5.29,308
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENTED,7118,3.28,LATRINE,PIT WITH SLAB,81579,37.64,2266
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENTED,7118,3.28,LATRINE,OTHER,2864,1.32,110
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENTED,7118,3.28,LATRINE,NONE,35419,16.34,1154
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENT FREE,8375,3.86,KITCHEN,SEPARATE,171557,79.16,4746
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENT FREE,8375,3.86,KITCHEN,SHARED,19869,9.17,700
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENT FREE,8375,3.86,KITCHEN,NONE,25302,11.67,2929
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENT FREE,8375,3.86,BATH,SEPARATE,158683,73.22,4481
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENT FREE,8375,3.86,BATH,SHARED,32711,15.09,1119
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENT FREE,8375,3.86,BATH,NONE,25334,11.69,2775
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENT FREE,8375,3.86,LATRINE,SEWER,16235,7.49,490
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENT FREE,8375,3.86,LATRINE,SEPTIC TANK,69172,31.92,1800
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENT FREE,8375,3.86,LATRINE,OPEN DRAIN,11459,5.29,498
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENT FREE,8375,3.86,LATRINE,PIT WITH SLAB,81579,37.64,2205
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENT FREE,8375,3.86,LATRINE,OTHER,2864,1.32,164
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,RENT FREE,8375,3.86,LATRINE,NONE,35419,16.34,3218
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,OWNED,36636,75.95,KITCHEN,SEPARATE,38991,80.83,30125
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,OWNED,36636,75.95,KITCHEN,SHARED,6385,13.24,4991
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,OWNED,36636,75.95,KITCHEN,NONE,2864,5.94,1520
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,OWNED,36636,75.95,BATH,SEPARATE,38379,79.56,29568
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,OWNED,36636,75.95,BATH,SHARED,7991,16.57,6038
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,OWNED,36636,75.95,BATH,NONE,1870,3.88,1030
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,OWNED,36636,75.95,LATRINE,SEWER,12952,26.85,9839
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,OWNED,36636,75.95,LATRINE,SEPTIC TANK,16447,34.09,12324
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,OWNED,36636,75.95,LATRINE,OPEN DRAIN,2318,4.81,1678
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,OWNED,36636,75.95,LATRINE,PIT WITH SLAB,13694,28.39,10909
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,OWNED,36636,75.95,LATRINE,OTHER,809,1.68,607
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,OWNED,36636,75.95,LATRINE,NONE,2020,4.19,1279
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,RENTED,9510,19.71,KITCHEN,SEPARATE,38991,80.83,7593
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,RENTED,9510,19.71,KITCHEN,SHARED,6385,13.24,1177
