province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,OWNED,16757,98.48,ROOF,WOOD/BAMBOO,9592,56.37,9494
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,OWNED,16757,98.48,ROOF,OTHERS,256,1.5,253
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENTED,189,1.11,WALL,BAKED BRICKS/BLOCKS/STONES,7070,41.55,126
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENTED,189,1.11,WALL,UNBAKED BRICKS/MUD,4581,26.92,51
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENTED,189,1.11,WALL,WOOD/BAMBOO,4883,28.7,9
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENTED,189,1.11,WALL,OTHERS,482,2.83,3
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENTED,189,1.11,ROOF,RCC/RBC,261,1.53,6
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENTED,189,1.11,ROOF,CEMENT/IRON SHEETS,288,1.69,2
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENTED,189,1.11,ROOF,GARDER/T.IRON,6619,38.9,112
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENTED,189,1.11,ROOF,WOOD/BAMBOO,9592,56.37,66
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENTED,189,1.11,ROOF,OTHERS,256,1.5,3
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENT FREE,70,0.41,WALL,BAKED BRICKS/BLOCKS/STONES,7070,41.55,44
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,RURAL,RENT FREE,70,0.41,WALL,UNBAKED BRICKS/MUD,4581,26.92,17
