province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,utility,source,total_by_source,percent_by_source,count
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENTED,733,1.92,OUTSIDE WATER,UN-PROTECTED WELL,77,0.2,0
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENTED,733,1.92,OUTSIDE WATER,SPRING,285,0.74,3
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENTED,733,1.92,OUTSIDE WATER,CANAL/RIVER/POND,4096,10.7,19
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENTED,733,1.92,OUTSIDE WATER,OTHERS,2817,7.36,42
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENTED,733,1.92,COOKING FUEL,WOOD,22969,60.03,5
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENTED,733,1.92,COOKING FUEL,GAS,13334,34.85,8
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENTED,733,1.92,COOKING FUEL,KEROSENE OIL,191,0.5,0
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENTED,733,1.92,COOKING FUEL,OTHERS,1769,4.62,0
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENTED,733,1.92,LIGHTING SOURCE,ELECTRICITY,22969,60.03,245
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENTED,733,1.92,LIGHTING SOURCE,KEROSENE OIL,13334,34.85,457
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENTED,733,1.92,LIGHTING SOURCE,GAS LAMP,191,0.5,3
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENTED,733,1.92,LIGHTING SOURCE,OTHERS,1769,4.62,28
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENT FREE,3661,9.57,INSIDE WATER,TOTAL INSIDE,29410,76.86,2206
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENT FREE,3661,9.57,INSIDE WATER,TAP,15377,40.19,986
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,RENT FREE,3661,9.57,INSIDE WATER,ELECTRIC/HAND PUMP,1983,5.18,129
