province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,work_status,count
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,ALL AGES,199,WORKING,51
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,20,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,05-09,11,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,10-14,17,WORKING,6
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,15-24,39,WORKING,8
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,25-34,49,WORKING,17
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,35-44,28,WORKING,8
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,45-54,13,WORKING,5
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,55-64,12,WORKING,4
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,65-74,6,WORKING,1
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,4,WORKING,2
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,ALL AGES,199,OTHER,42
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,20,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,05-09,11,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,10-14,17,OTHER,1
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,15-24,39,OTHER,9
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,25-34,49,OTHER,13
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,35-44,28,OTHER,12
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,45-54,13,OTHER,2
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,55-64,12,OTHER,5
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,65-74,6,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,4,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,ALL AGES,143,WORKING,50
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,BELOW 5 YEARS,13,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,05-09,8,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,10-14,12,WORKING,5
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,15-24,28,WORKING,8
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,25-34,36,WORKING,17
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,35-44,21,WORKING,8
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,45-54,9,WORKING,5
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,55-64,10,WORKING,4
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,65-74,3,WORKING,1
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,75 AND ABOVE,3,WORKING,2
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,ALL AGES,143,OTHER,39
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,BELOW 5 YEARS,13,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,05-09,8,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,10-14,12,OTHER,1
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,15-24,28,OTHER,8
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,25-34,36,OTHER,13
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,35-44,21,OTHER,10
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,45-54,9,OTHER,2
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,55-64,10,OTHER,5
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,65-74,3,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,75 AND ABOVE,3,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,ALL AGES,56,WORKING,1
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,BELOW 5 YEARS,7,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,05-09,3,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,10-14,5,WORKING,1
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,15-24,11,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,25-34,13,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,35-44,7,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,45-54,4,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,55-64,2,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,65-74,3,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,75 AND ABOVE,1,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,ALL AGES,56,OTHER,3
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,BELOW 5 YEARS,7,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,05-09,3,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,10-14,5,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,15-24,11,OTHER,1
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,25-34,13,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,35-44,7,OTHER,2
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,45-54,4,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,55-64,2,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,65-74,3,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,FEMALE,75 AND ABOVE,1,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,ALL AGES,0,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,BELOW 5 YEARS,0,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,05-09,0,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,10-14,0,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,15-24,0,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,25-34,0,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,35-44,0,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,45-54,0,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,55-64,0,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,65-74,0,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,75 AND ABOVE,0,WORKING,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,ALL AGES,0,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,BELOW 5 YEARS,0,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,05-09,0,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,10-14,0,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,15-24,0,OTHER,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,TRANSGENDER,25-34,0,OTHER,0
