province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,UNDER CONSTRUCTION,1,2107,1.15,50948,27.78,616
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,LESS THAN 5 YEARS,1,22976,12.53,50948,27.78,6264
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,5-10 YEARS,1,53675,29.27,50948,27.78,14391
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,11-50 YEARS,1,97701,53.27,50948,27.78,27642
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,OVER 50 YEARS,1,6940,3.78,50948,27.78,2035
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,UNDER CONSTRUCTION,2,2107,1.15,57718,31.47,638
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,LESS THAN 5 YEARS,2,22976,12.53,57718,31.47,7781
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,5-10 YEARS,2,53675,29.27,57718,31.47,17507
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,11-50 YEARS,2,97701,53.27,57718,31.47,29750
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,OVER 50 YEARS,2,6940,3.78,57718,31.47,2042
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,UNDER CONSTRUCTION,3,2107,1.15,35315,19.26,418
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,LESS THAN 5 YEARS,3,22976,12.53,35315,19.26,4528
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,5-10 YEARS,3,53675,29.27,35315,19.26,10676
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,11-50 YEARS,3,97701,53.27,35315,19.26,18486
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,OVER 50 YEARS,3,6940,3.78,35315,19.26,1207
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,UNDER CONSTRUCTION,4,2107,1.15,21161,11.54,258
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,LESS THAN 5 YEARS,4,22976,12.53,21161,11.54,2539
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,5-10 YEARS,4,53675,29.27,21161,11.54,6166
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,11-50 YEARS,4,97701,53.27,21161,11.54,11381
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,OVER 50 YEARS,4,6940,3.78,21161,11.54,817
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,UNDER CONSTRUCTION,5,2107,1.15,8891,4.85,90
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,LESS THAN 5 YEARS,5,22976,12.53,8891,4.85,927
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,5-10 YEARS,5,53675,29.27,8891,4.85,2485
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,11-50 YEARS,5,97701,53.27,8891,4.85,5028
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,OVER 50 YEARS,5,6940,3.78,8891,4.85,361
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,UNDER CONSTRUCTION,6,2107,1.15,4761,2.6,36
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,LESS THAN 5 YEARS,6,22976,12.53,4761,2.6,500
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,5-10 YEARS,6,53675,29.27,4761,2.6,1257
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,11-50 YEARS,6,97701,53.27,4761,2.6,2764
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,OVER 50 YEARS,6,6940,3.78,4761,2.6,204
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,UNDER CONSTRUCTION,7,2107,1.15,2134,1.16,29
