province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,5-10 YEARS,53675,29.27,BATH,NONE,10207,5.57,2566
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,5-10 YEARS,53675,29.27,LATRINE,SEWER,24446,13.33,8018
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,5-10 YEARS,53675,29.27,LATRINE,SEPTIC TANK,83862,45.73,23052
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,5-10 YEARS,53675,29.27,LATRINE,OPEN DRAIN,18896,10.3,5944
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,5-10 YEARS,53675,29.27,LATRINE,PIT WITH SLAB,39899,21.76,12530
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,5-10 YEARS,53675,29.27,LATRINE,OTHER,5433,2.96,1468
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,5-10 YEARS,53675,29.27,LATRINE,NONE,10863,5.92,2663
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,11-50 YEARS,97701,53.27,KITCHEN,SEPARATE,105806,57.69,55348
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,11-50 YEARS,97701,53.27,KITCHEN,SHARED,57414,31.31,31484
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,11-50 YEARS,97701,53.27,KITCHEN,NONE,20179,11,10869
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,11-50 YEARS,97701,53.27,BATH,SEPARATE,114711,62.55,60279
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,11-50 YEARS,97701,53.27,BATH,SHARED,58481,31.89,32121
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,11-50 YEARS,97701,53.27,BATH,NONE,10207,5.57,5301
