province_name,district_code,district_name,area_name,area_type,gender,cnic_status,age_group,count
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,18 AND ABOVE,572696
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,18 AND ABOVE,470507
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,18 AND ABOVE,102189
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,MALE,TOTAL POPULATION,18 AND ABOVE,284813
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,MALE,CNIC OBTAINED,18 AND ABOVE,252244
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,18 AND ABOVE,32569
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,18 AND ABOVE,287820
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,18 AND ABOVE,218212
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,18 AND ABOVE,69608
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,18 AND ABOVE,63
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,18 AND ABOVE,51
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,18 AND ABOVE,12
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,18 - 19,48510
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,18 - 19,18479
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,18 - 19,30031
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,MALE,TOTAL POPULATION,18 - 19,24337
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,MALE,CNIC OBTAINED,18 - 19,11299
SINDH,079,SHIKARPUR DISTRICT,SHIKARPUR DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,18 - 19,13038
