province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,11-50 YEARS,8,160153,64.37,2847,1.14,1961
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,OVER 50 YEARS,8,10886,4.38,2847,1.14,149
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,UNDER CONSTRUCTION,9 AND MORE,3763,1.51,3505,1.41,52
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,LESS THAN 5 YEARS,9 AND MORE,20125,8.09,3505,1.41,200
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,5-10 YEARS,9 AND MORE,53878,21.65,3505,1.41,651
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,11-50 YEARS,9 AND MORE,160153,64.37,3505,1.41,2323
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,OVER 50 YEARS,9 AND MORE,10886,4.38,3505,1.41,279
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,UNDER CONSTRUCTION,1,2958,1.46,21235,10.46,332
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,LESS THAN 5 YEARS,1,15339,7.56,21235,10.46,1716
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,5-10 YEARS,1,43028,21.2,21235,10.46,4601
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,11-50 YEARS,1,132271,65.16,21235,10.46,13590
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,OVER 50 YEARS,1,9403,4.63,21235,10.46,996
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,UNDER CONSTRUCTION,2,2958,1.46,63564,31.31,954
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,LESS THAN 5 YEARS,2,15339,7.56,63564,31.31,4832
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,5-10 YEARS,2,43028,21.2,63564,31.31,14529
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,11-50 YEARS,2,132271,65.16,63564,31.31,40681
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,OVER 50 YEARS,2,9403,4.63,63564,31.31,2568
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,UNDER CONSTRUCTION,3,2958,1.46,52423,25.82,778
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,LESS THAN 5 YEARS,3,15339,7.56,52423,25.82,4093
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,5-10 YEARS,3,43028,21.2,52423,25.82,11236
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,11-50 YEARS,3,132271,65.16,52423,25.82,34023
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,OVER 50 YEARS,3,9403,4.63,52423,25.82,2293
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,UNDER CONSTRUCTION,4,2958,1.46,34517,17,509
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,LESS THAN 5 YEARS,4,15339,7.56,34517,17,2702
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,5-10 YEARS,4,43028,21.2,34517,17,6940
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,11-50 YEARS,4,132271,65.16,34517,17,22686
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,OVER 50 YEARS,4,9403,4.63,34517,17,1680
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,UNDER CONSTRUCTION,5,2958,1.46,14544,7.16,183
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,LESS THAN 5 YEARS,5,15339,7.56,14544,7.16,960
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,5-10 YEARS,5,43028,21.2,14544,7.16,2710
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,11-50 YEARS,5,132271,65.16,14544,7.16,9909
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,OVER 50 YEARS,5,9403,4.63,14544,7.16,782
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,UNDER CONSTRUCTION,6,2958,1.46,8360,4.12,94
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,LESS THAN 5 YEARS,6,15339,7.56,8360,4.12,585
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,5-10 YEARS,6,43028,21.2,8360,4.12,1550
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,11-50 YEARS,6,132271,65.16,8360,4.12,5630
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,OVER 50 YEARS,6,9403,4.63,8360,4.12,501
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,UNDER CONSTRUCTION,7,2958,1.46,3431,1.69,41
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,LESS THAN 5 YEARS,7,15339,7.56,3431,1.69,198
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,5-10 YEARS,7,43028,21.2,3431,1.69,599
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,11-50 YEARS,7,132271,65.16,3431,1.69,2370
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,OVER 50 YEARS,7,9403,4.63,3431,1.69,223
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,UNDER CONSTRUCTION,8,2958,1.46,2146,1.06,26
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,LESS THAN 5 YEARS,8,15339,7.56,2146,1.06,116
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,5-10 YEARS,8,43028,21.2,2146,1.06,370
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,11-50 YEARS,8,132271,65.16,2146,1.06,1512
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,OVER 50 YEARS,8,9403,4.63,2146,1.06,122
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,UNDER CONSTRUCTION,9 AND MORE,2958,1.46,2779,1.37,41
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,LESS THAN 5 YEARS,9 AND MORE,15339,7.56,2779,1.37,137
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,5-10 YEARS,9 AND MORE,43028,21.2,2779,1.37,493
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,11-50 YEARS,9 AND MORE,132271,65.16,2779,1.37,1870
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,OVER 50 YEARS,9 AND MORE,9403,4.63,2779,1.37,238
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,UNDER CONSTRUCTION,1,805,1.76,3239,7.07,90
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,LESS THAN 5 YEARS,1,4786,10.45,3239,7.07,317
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,5-10 YEARS,1,10850,23.69,3239,7.07,587
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,11-50 YEARS,1,27882,60.87,3239,7.07,2109
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,OVER 50 YEARS,1,1483,3.24,3239,7.07,136
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,UNDER CONSTRUCTION,2,805,1.76,11367,24.82,194
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,LESS THAN 5 YEARS,2,4786,10.45,11367,24.82,1014
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,5-10 YEARS,2,10850,23.69,11367,24.82,2671
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,11-50 YEARS,2,27882,60.87,11367,24.82,7104
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,OVER 50 YEARS,2,1483,3.24,11367,24.82,384
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,UNDER CONSTRUCTION,3,805,1.76,14092,30.76,267
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,LESS THAN 5 YEARS,3,4786,10.45,14092,30.76,1841
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,5-10 YEARS,3,10850,23.69,14092,30.76,3585
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,11-50 YEARS,3,27882,60.87,14092,30.76,8043
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,OVER 50 YEARS,3,1483,3.24,14092,30.76,356
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,UNDER CONSTRUCTION,4,805,1.76,8231,17.97,143
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,LESS THAN 5 YEARS,4,4786,10.45,8231,17.97,857
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,5-10 YEARS,4,10850,23.69,8231,17.97,1983
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,11-50 YEARS,4,27882,60.87,8231,17.97,4985
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,OVER 50 YEARS,4,1483,3.24,8231,17.97,263
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,UNDER CONSTRUCTION,5,805,1.76,3876,8.46,40
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,LESS THAN 5 YEARS,5,4786,10.45,3876,8.46,322
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,5-10 YEARS,5,10850,23.69,3876,8.46,927
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,11-50 YEARS,5,27882,60.87,3876,8.46,2447
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,OVER 50 YEARS,5,1483,3.24,3876,8.46,140
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,UNDER CONSTRUCTION,6,805,1.76,2570,5.61,29
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,LESS THAN 5 YEARS,6,4786,10.45,2570,5.61,229
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,5-10 YEARS,6,10850,23.69,2570,5.61,572
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,11-50 YEARS,6,27882,60.87,2570,5.61,1646
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,OVER 50 YEARS,6,1483,3.24,2570,5.61,94
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,UNDER CONSTRUCTION,7,805,1.76,1004,2.19,21
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,LESS THAN 5 YEARS,7,4786,10.45,1004,2.19,77
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,5-10 YEARS,7,10850,23.69,1004,2.19,218
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,11-50 YEARS,7,27882,60.87,1004,2.19,646
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,OVER 50 YEARS,7,1483,3.24,1004,2.19,42
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,UNDER CONSTRUCTION,8,805,1.76,701,1.53,10
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,LESS THAN 5 YEARS,8,4786,10.45,701,1.53,66
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,5-10 YEARS,8,10850,23.69,701,1.53,149
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,11-50 YEARS,8,27882,60.87,701,1.53,449
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,OVER 50 YEARS,8,1483,3.24,701,1.53,27
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,UNDER CONSTRUCTION,9 AND MORE,805,1.76,726,1.58,11
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,LESS THAN 5 YEARS,9 AND MORE,4786,10.45,726,1.58,63
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,5-10 YEARS,9 AND MORE,10850,23.69,726,1.58,158
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,11-50 YEARS,9 AND MORE,27882,60.87,726,1.58,453
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,URBAN,OVER 50 YEARS,9 AND MORE,1483,3.24,726,1.58,41
