province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,1 PERSON,1,8414,2.78,2.24,33648,11.12,4.42,2977
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,2 PERSONS,1,20235,6.69,2.42,33648,11.12,4.42,4680
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,3 PERSONS,1,27462,9.07,2.55,33648,11.12,4.42,4791
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,4 PERSONS,1,41366,13.67,2.68,33648,11.12,4.42,5788
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,5 PERSONS,1,51782,17.11,2.81,33648,11.12,4.42,5807
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,6 PERSONS,1,47220,15.6,2.95,33648,11.12,4.42,4397
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,7 PERSONS,1,33587,11.1,3.15,33648,11.12,4.42,2450
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,8 PERSONS,1,21944,7.25,3.35,33648,11.12,4.42,1257
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,9 PERSONS,1,14423,4.77,3.57,33648,11.12,4.42,637
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,36248,11.98,4.34,33648,11.12,4.42,864
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,1 PERSON,2,8414,2.78,2.24,97954,32.36,5.25,2826
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,2 PERSONS,2,20235,6.69,2.42,97954,32.36,5.25,8110
