province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,11-50 YEARS,13219,56.09,ROOF,RCC/RBC,235,1,120
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,11-50 YEARS,13219,56.09,ROOF,CEMENT/IRON SHEETS,591,2.51,146
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,11-50 YEARS,13219,56.09,ROOF,GARDER/T.IRON,4534,19.24,2110
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,11-50 YEARS,13219,56.09,ROOF,WOOD/BAMBOO,17111,72.61,10088
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,11-50 YEARS,13219,56.09,ROOF,OTHERS,1095,4.65,755
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OVER 50 YEARS,2700,11.46,WALL,BAKED BRICKS/BLOCKS/STONES,4629,19.64,380
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OVER 50 YEARS,2700,11.46,WALL,UNBAKED BRICKS/MUD,14304,60.7,1579
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OVER 50 YEARS,2700,11.46,WALL,WOOD/BAMBOO,3604,15.29,645
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OVER 50 YEARS,2700,11.46,WALL,OTHERS,1029,4.37,96
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OVER 50 YEARS,2700,11.46,ROOF,RCC/RBC,235,1,14
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OVER 50 YEARS,2700,11.46,ROOF,CEMENT/IRON SHEETS,591,2.51,126
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OVER 50 YEARS,2700,11.46,ROOF,GARDER/T.IRON,4534,19.24,817
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OVER 50 YEARS,2700,11.46,ROOF,WOOD/BAMBOO,17111,72.61,1650
