province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,1 PERSON,1,553,2.17,1.63,7377,28.96,4.92,380
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,2 PERSONS,1,2282,8.96,1.9,7377,28.96,4.92,1204
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,3 PERSONS,1,2552,10.02,2.04,7377,28.96,4.92,1124
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,4 PERSONS,1,2837,11.14,2.25,7377,28.96,4.92,1042
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,5 PERSONS,1,3064,12.03,2.36,7377,28.96,4.92,1039
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,6 PERSONS,1,2850,11.19,2.56,7377,28.96,4.92,765
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,7 PERSONS,1,2927,11.49,2.7,7377,28.96,4.92,630
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,8 PERSONS,1,2329,9.14,2.91,7377,28.96,4.92,402
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,9 PERSONS,1,1781,6.99,3.18,7377,28.96,4.92,277
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,4300,16.88,3.77,7377,28.96,4.92,514
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,1 PERSON,2,553,2.17,1.63,7418,29.12,6.23,93
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,2 PERSONS,2,2282,8.96,1.9,7418,29.12,6.23,587
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,3 PERSONS,2,2552,10.02,2.04,7418,29.12,6.23,787
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,4 PERSONS,2,2837,11.14,2.25,7418,29.12,6.23,927
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,5 PERSONS,2,3064,12.03,2.36,7418,29.12,6.23,978
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,6 PERSONS,2,2850,11.19,2.56,7418,29.12,6.23,916
