province_name,district_code,district_name,area_name,area_type,marital_status,household_head_relationship,gender,count
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,HEAD,ALL SEXES,112268
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,HEAD,MALE,105017
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,HEAD,FEMALE,7251
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,HEAD,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,SPOUSE,ALL SEXES,105115
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,SPOUSE,MALE,1231
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,SPOUSE,FEMALE,103884
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,SPOUSE,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,SON/DAUGHTER,ALL SEXES,116720
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,SON/DAUGHTER,MALE,84014
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,SON/DAUGHTER,FEMALE,32699
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,SON/DAUGHTER,TRANSGENDER,7
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,DAUGHTER/SON IN LAW,ALL SEXES,41217
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,DAUGHTER/SON IN LAW,MALE,650
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,DAUGHTER/SON IN LAW,FEMALE,40567
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,DAUGHTER/SON IN LAW,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,ALL SEXES,7551
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,MALE,4672
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,FEMALE,2876
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,TRANSGENDER,3
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,FATHER/MOTHER,ALL SEXES,20321
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,FATHER/MOTHER,MALE,4852
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,FATHER/MOTHER,FEMALE,15469
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,FATHER/MOTHER,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,BROTHER/SISTER,ALL SEXES,29551
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,BROTHER/SISTER,MALE,23366
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,BROTHER/SISTER,FEMALE,6169
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,BROTHER/SISTER,TRANSGENDER,16
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,OTHER RELATIVE,ALL SEXES,35005
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,OTHER RELATIVE,MALE,8782
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,OTHER RELATIVE,FEMALE,26176
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,OTHER RELATIVE,TRANSGENDER,47
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,NON-RELATIVE,ALL SEXES,17511
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,NON-RELATIVE,MALE,10599
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,NON-RELATIVE,FEMALE,6910
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,TOTAL,NON-RELATIVE,TRANSGENDER,2
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,HEAD,ALL SEXES,2592
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,HEAD,MALE,2236
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,HEAD,FEMALE,356
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,HEAD,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,SPOUSE,ALL SEXES,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,SPOUSE,MALE,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,SPOUSE,FEMALE,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,SPOUSE,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,SON/DAUGHTER,ALL SEXES,79732
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,SON/DAUGHTER,MALE,48513
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,SON/DAUGHTER,FEMALE,31212
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,SON/DAUGHTER,TRANSGENDER,7
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,DAUGHTER/SON IN LAW,ALL SEXES,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,DAUGHTER/SON IN LAW,MALE,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,DAUGHTER/SON IN LAW,FEMALE,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,DAUGHTER/SON IN LAW,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,GRAND SON/GRAND DAUGHTER,ALL SEXES,6309
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,GRAND SON/GRAND DAUGHTER,MALE,3644
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,GRAND SON/GRAND DAUGHTER,FEMALE,2662
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,GRAND SON/GRAND DAUGHTER,TRANSGENDER,3
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,FATHER/MOTHER,ALL SEXES,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,FATHER/MOTHER,MALE,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,FATHER/MOTHER,FEMALE,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,FATHER/MOTHER,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,BROTHER/SISTER,ALL SEXES,14198
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,BROTHER/SISTER,MALE,8916
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,BROTHER/SISTER,FEMALE,5266
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,BROTHER/SISTER,TRANSGENDER,16
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,OTHER RELATIVE,ALL SEXES,8086
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,OTHER RELATIVE,MALE,4402
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,OTHER RELATIVE,FEMALE,3637
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,OTHER RELATIVE,TRANSGENDER,47
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,NON-RELATIVE,ALL SEXES,5396
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,NON-RELATIVE,MALE,3765
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,NON-RELATIVE,FEMALE,1629
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,NEVER MARRIED,NON-RELATIVE,TRANSGENDER,2
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,HEAD,ALL SEXES,106759
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,HEAD,MALE,101726
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,HEAD,FEMALE,5033
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,HEAD,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,SPOUSE,ALL SEXES,105115
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,SPOUSE,MALE,1231
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,SPOUSE,FEMALE,103884
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,SPOUSE,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,SON/DAUGHTER,ALL SEXES,36722
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,SON/DAUGHTER,MALE,35407
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,SON/DAUGHTER,FEMALE,1315
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,SON/DAUGHTER,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,DAUGHTER/SON IN LAW,ALL SEXES,40703
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,DAUGHTER/SON IN LAW,MALE,633
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,DAUGHTER/SON IN LAW,FEMALE,40070
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,DAUGHTER/SON IN LAW,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,GRAND SON/GRAND DAUGHTER,ALL SEXES,1233
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,GRAND SON/GRAND DAUGHTER,MALE,1025
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,GRAND SON/GRAND DAUGHTER,FEMALE,208
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,GRAND SON/GRAND DAUGHTER,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,FATHER/MOTHER,ALL SEXES,11547
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,FATHER/MOTHER,MALE,4230
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,FATHER/MOTHER,FEMALE,7317
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,FATHER/MOTHER,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,BROTHER/SISTER,ALL SEXES,15025
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,BROTHER/SISTER,MALE,14374
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,BROTHER/SISTER,FEMALE,651
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,BROTHER/SISTER,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,OTHER RELATIVE,ALL SEXES,25143
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,OTHER RELATIVE,MALE,4253
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,OTHER RELATIVE,FEMALE,20890
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,OTHER RELATIVE,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,NON-RELATIVE,ALL SEXES,11802
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,NON-RELATIVE,MALE,6802
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,NON-RELATIVE,FEMALE,5000
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,MARRIED,NON-RELATIVE,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,WIDOWED,HEAD,ALL SEXES,2897
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,WIDOWED,HEAD,MALE,1043
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,WIDOWED,HEAD,FEMALE,1854
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,WIDOWED,HEAD,TRANSGENDER,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,WIDOWED,SPOUSE,ALL SEXES,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,WIDOWED,SPOUSE,MALE,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,WIDOWED,SPOUSE,FEMALE,NA
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,WIDOWED,SPOUSE,TRANSGENDER,NA
