province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OWNED,111658,89.19,WALL,BAKED BRICKS/BLOCKS/STONES,12156,9.71,10800
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OWNED,111658,89.19,WALL,UNBAKED BRICKS/MUD,92735,74.07,83401
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OWNED,111658,89.19,WALL,WOOD/BAMBOO,12459,9.95,10757
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OWNED,111658,89.19,WALL,OTHERS,7847,6.27,6700
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OWNED,111658,89.19,ROOF,RCC/RBC,2723,2.17,2285
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OWNED,111658,89.19,ROOF,CEMENT/IRON SHEETS,3534,2.82,3093
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OWNED,111658,89.19,ROOF,GARDER/T.IRON,32089,25.63,30586
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OWNED,111658,89.19,ROOF,WOOD/BAMBOO,83911,67.02,73757
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OWNED,111658,89.19,ROOF,OTHERS,2940,2.35,1937
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,RENTED,3321,2.65,WALL,BAKED BRICKS/BLOCKS/STONES,12156,9.71,721
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,RENTED,3321,2.65,WALL,UNBAKED BRICKS/MUD,92735,74.07,1920
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,RENTED,3321,2.65,WALL,WOOD/BAMBOO,12459,9.95,528
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,RENTED,3321,2.65,WALL,OTHERS,7847,6.27,152
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,RENTED,3321,2.65,ROOF,RCC/RBC,2723,2.17,257
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,RENTED,3321,2.65,ROOF,CEMENT/IRON SHEETS,3534,2.82,240
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,RENTED,3321,2.65,ROOF,GARDER/T.IRON,32089,25.63,687
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,RENTED,3321,2.65,ROOF,WOOD/BAMBOO,83911,67.02,2078
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,RENTED,3321,2.65,ROOF,OTHERS,2940,2.35,59
